====================================================================================================
HOSPITAL RESOURCE SHARING SYSTEM - DATABASE EXPORT
Generated: 2026-03-03 12:09:19
====================================================================================================

Total Tables Found: 33


====================================================================================================
TABLE: auth_group
====================================================================================================

COLUMNS:
----------------------------------------------------------------------------------------------------
  - id: integer NOT NULL
  - name: character varying(150) NOT NULL

Total Rows: 0

No data in this table.


====================================================================================================
TABLE: auth_group_permissions
====================================================================================================

COLUMNS:
----------------------------------------------------------------------------------------------------
  - id: bigint NOT NULL
  - group_id: integer NOT NULL
  - permission_id: integer NOT NULL

Total Rows: 0

No data in this table.


====================================================================================================
TABLE: auth_permission
====================================================================================================

COLUMNS:
----------------------------------------------------------------------------------------------------
  - id: integer NOT NULL
  - name: character varying(255) NOT NULL
  - content_type_id: integer NOT NULL
  - codename: character varying(100) NOT NULL

Total Rows: 88

DATA:
----------------------------------------------------------------------------------------------------
id | name | content_type_id | codename
----------------------------------------------------------------------------------------------------
1 | Can add log entry | 1 | add_logentry
2 | Can change log entry | 1 | change_logentry
3 | Can delete log entry | 1 | delete_logentry
4 | Can view log entry | 1 | view_logentry
5 | Can add permission | 2 | add_permission
6 | Can change permission | 2 | change_permission
7 | Can delete permission | 2 | delete_permission
8 | Can view permission | 2 | view_permission
9 | Can add group | 3 | add_group
10 | Can change group | 3 | change_group
11 | Can delete group | 3 | delete_group
12 | Can view group | 3 | view_group
13 | Can add user | 4 | add_user
14 | Can change user | 4 | change_user
15 | Can delete user | 4 | delete_user
16 | Can view user | 4 | view_user
17 | Can add content type | 5 | add_contenttype
18 | Can change content type | 5 | change_contenttype
19 | Can delete content type | 5 | delete_contenttype
20 | Can view content type | 5 | view_contenttype
21 | Can add session | 6 | add_session
22 | Can change session | 6 | change_session
23 | Can delete session | 6 | delete_session
24 | Can view session | 6 | view_session
25 | Can add Resource Hospital | 7 | add_resourcehospital
26 | Can change Resource Hospital | 7 | change_resourcehospital
27 | Can delete Resource Hospital | 7 | delete_resourcehospital
28 | Can view Resource Hospital | 7 | view_resourcehospital
29 | Can add Resource Category | 8 | add_resourcecategory
30 | Can change Resource Category | 8 | change_resourcecategory
31 | Can delete Resource Category | 8 | delete_resourcecategory
32 | Can view Resource Category | 8 | view_resourcecategory
33 | Can add Shared Resource | 9 | add_sharedresource
34 | Can change Shared Resource | 9 | change_sharedresource
35 | Can delete Shared Resource | 9 | delete_sharedresource
36 | Can view Shared Resource | 9 | view_sharedresource
37 | Can add Inventory Sync Log | 10 | add_inventorysynclog
38 | Can change Inventory Sync Log | 10 | change_inventorysynclog
39 | Can delete Inventory Sync Log | 10 | delete_inventorysynclog
40 | Can view Inventory Sync Log | 10 | view_inventorysynclog
41 | Can add Bed Occupancy | 11 | add_bedoccupancy
42 | Can change Bed Occupancy | 11 | change_bedoccupancy
43 | Can delete Bed Occupancy | 11 | delete_bedoccupancy
44 | Can view Bed Occupancy | 11 | view_bedoccupancy
45 | Can add Role Permission | 12 | add_rolepermission
46 | Can change Role Permission | 12 | change_rolepermission
47 | Can delete Role Permission | 12 | delete_rolepermission
48 | Can view Role Permission | 12 | view_rolepermission
49 | Can add Audit Log | 13 | add_auditlog
50 | Can change Audit Log | 13 | change_auditlog
51 | Can delete Audit Log | 13 | delete_auditlog
52 | Can view Audit Log | 13 | view_auditlog
53 | Can add Message | 14 | add_message
54 | Can change Message | 14 | change_message
55 | Can delete Message | 14 | delete_message
56 | Can view Message | 14 | view_message
57 | Can add Inventory Item | 15 | add_inventoryitem
58 | Can change Inventory Item | 15 | change_inventoryitem
59 | Can delete Inventory Item | 15 | delete_inventoryitem
60 | Can view Inventory Item | 15 | view_inventoryitem
61 | Can add Resource Request | 16 | add_resourcerequest
62 | Can change Resource Request | 16 | change_resourcerequest
63 | Can delete Resource Request | 16 | delete_resourcerequest
64 | Can view Resource Request | 16 | view_resourcerequest
65 | Can add User Profile | 17 | add_userprofile
66 | Can change User Profile | 17 | change_userprofile
67 | Can delete User Profile | 17 | delete_userprofile
68 | Can view User Profile | 17 | view_userprofile
69 | Can add Alert | 18 | add_alert
70 | Can change Alert | 18 | change_alert
71 | Can delete Alert | 18 | delete_alert
72 | Can view Alert | 18 | view_alert
73 | Can add Token | 19 | add_token
74 | Can change Token | 19 | change_token
75 | Can delete Token | 19 | delete_token
76 | Can view Token | 19 | view_token
77 | Can add Token | 20 | add_tokenproxy
78 | Can change Token | 20 | change_tokenproxy
79 | Can delete Token | 20 | delete_tokenproxy
80 | Can view Token | 20 | view_tokenproxy
81 | Can add Blacklisted Token | 21 | add_blacklistedtoken
82 | Can change Blacklisted Token | 21 | change_blacklistedtoken
83 | Can delete Blacklisted Token | 21 | delete_blacklistedtoken
84 | Can view Blacklisted Token | 21 | view_blacklistedtoken
85 | Can add Outstanding Token | 22 | add_outstandingtoken
86 | Can change Outstanding Token | 22 | change_outstandingtoken
87 | Can delete Outstanding Token | 22 | delete_outstandingtoken
88 | Can view Outstanding Token | 22 | view_outstandingtoken


====================================================================================================
TABLE: auth_user
====================================================================================================

COLUMNS:
----------------------------------------------------------------------------------------------------
  - id: integer NOT NULL
  - password: character varying(128) NOT NULL
  - last_login: timestamp with time zone NULL
  - is_superuser: boolean NOT NULL
  - username: character varying(150) NOT NULL
  - first_name: character varying(150) NOT NULL
  - last_name: character varying(150) NOT NULL
  - email: character varying(254) NOT NULL
  - is_staff: boolean NOT NULL
  - is_active: boolean NOT NULL
  - date_joined: timestamp with time zone NOT NULL

Total Rows: 4

DATA:
----------------------------------------------------------------------------------------------------
id | password | last_login | is_superuser | username | first_name | last_name | email | is_staff | is_active | date_joined
----------------------------------------------------------------------------------------------------
1 | pbkdf2_sha256$600000$HWXEJCDI9TPZ5cen1U4klJ$poYYSorMvU5QNMI6PqNpexSvb0PhLduUMY5s6lCXFgk= | NULL | False | sarah.chen@metro.health |  |  | sarah.chen@metro.health | False | True | 2026-02-28 09:17:47.892850+00:00
2 | pbkdf2_sha256$600000$MvKKGlchX7GqiQOCUO9giX$N+Tezp+7mGzvX8T3VUDmEupNmTQTESTFcV9BkCge4ro= | NULL | False | james.wilson@metro.health | James | Wilson | james.wilson@metro.health | False | True | 2026-02-28 16:08:31.420712+00:00
3 | pbkdf2_sha256$600000$NsovQ4eWMh3NRYcBsoIBUd$Ixc5kzk2neWozHDAeNJWhPYSLF+9/cA3rQPlmR81SdM= | NULL | False | emily.roberts@city.health | Dr. | Emily Roberts | emily.roberts@city.health | False | True | 2026-02-28 16:08:31.664660+00:00
