date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH013,Paracetamol 500mg,32,Khalishpur
2024-01-01,PH013,ORS Sachet,18,Khalishpur
2024-01-01,PH013,Metronidazole 400mg,10,Khalishpur
2024-01-01,PH013,Cetirizine 10mg,14,Khalishpur
2024-01-01,PH013,Amoxicillin 500mg,11,Khalishpur
2024-01-01,PH013,Azithromycin 500mg,6,Khalishpur
2024-01-01,PH013,Zinc 20mg (child),11,Khalishpur
2024-01-01,PH013,Ciprofloxacin 500mg,5,Khalishpur
2024-01-01,PH013,Antihistamine Syrup,11,Khalishpur
2024-01-01,PH013,Vitamin C 500mg,24,Khalishpur
2024-01-01,PH013,Ranitidine 150mg,18,Khalishpur
2024-01-01,PH013,Antacid Tablet,16,Khalishpur
2024-01-01,PH013,Insulin (vial),3,Khalishpur
2024-01-01,PH013,Atorvastatin 10mg,7,Khalishpur
2024-01-01,PH013,Losartan 50mg,8,Khalishpur
2024-01-02,PH013,Paracetamol 500mg,37,Khalishpur
2024-01-02,PH013,ORS Sachet,15,Khalishpur
2024-01-02,PH013,Metronidazole 400mg,12,Khalishpur
2024-01-02,PH013,Cetirizine 10mg,12,Khalishpur
2024-01-02,PH013,Amoxicillin 500mg,9,Khalishpur
2024-01-02,PH013,Azithromycin 500mg,4,Khalishpur
2024-01-02,PH013,Zinc 20mg (child),9,Khalishpur
2024-01-02,PH013,Ciprofloxacin 500mg,8,Khalishpur
2024-01-02,PH013,Antihistamine Syrup,13,Khalishpur
2024-01-02,PH013,Vitamin C 500mg,26,Khalishpur
2024-01-02,PH013,Ranitidine 150mg,18,Khalishpur
2024-01-02,PH013,Antacid Tablet,23,Khalishpur
2024-01-02,PH013,Insulin (vial),5,Khalishpur
2024-01-02,PH013,Atorvastatin 10mg,7,Khalishpur
2024-01-02,PH013,Losartan 50mg,8,Khalishpur
2024-01-03,PH013,Paracetamol 500mg,31,Khalishpur
2024-01-03,PH013,ORS Sachet,20,Khalishpur
2024-01-03,PH013,Metronidazole 400mg,14,Khalishpur
2024-01-03,PH013,Cetirizine 10mg,16,Khalishpur
2024-01-03,PH013,Amoxicillin 500mg,9,Khalishpur
2024-01-03,PH013,Azithromycin 500mg,6,Khalishpur
2024-01-03,PH013,Zinc 20mg (child),8,Khalishpur
2024-01-03,PH013,Ciprofloxacin 500mg,6,Khalishpur
2024-01-03,PH013,Antihistamine Syrup,13,Khalishpur
2024-01-03,PH013,Vitamin C 500mg,22,Khalishpur
2024-01-03,PH013,Ranitidine 150mg,12,Khalishpur
2024-01-03,PH013,Antacid Tablet,19,Khalishpur
2024-01-03,PH013,Insulin (vial),5,Khalishpur
2024-01-03,PH013,Atorvastatin 10mg,7,Khalishpur
2024-01-03,PH013,Losartan 50mg,6,Khalishpur
2024-01-04,PH013,Paracetamol 500mg,26,Khalishpur
2024-01-04,PH013,ORS Sachet,16,Khalishpur
2024-01-04,PH013,Metronidazole 400mg,10,Khalishpur
2024-01-04,PH013,Cetirizine 10mg,12,Khalishpur
2024-01-04,PH013,Amoxicillin 500mg,8,Khalishpur
2024-01-04,PH013,Azithromycin 500mg,5,Khalishpur
2024-01-04,PH013,Zinc 20mg (child),9,Khalishpur
2024-01-04,PH013,Ciprofloxacin 500mg,7,Khalishpur
2024-01-04,PH013,Antihistamine Syrup,10,Khalishpur
2024-01-04,PH013,Vitamin C 500mg,25,Khalishpur
2024-01-04,PH013,Ranitidine 150mg,17,Khalishpur
2024-01-04,PH013,Antacid Tablet,24,Khalishpur
2024-01-04,PH013,Insulin (vial),3,Khalishpur
2024-01-04,PH013,Atorvastatin 10mg,8,Khalishpur
2024-01-04,PH013,Losartan 50mg,9,Khalishpur
2024-01-05,PH013,Paracetamol 500mg,28,Khalishpur
2024-01-05,PH013,ORS Sachet,19,Khalishpur
2024-01-05,PH013,Metronidazole 400mg,11,Khalishpur
2024-01-05,PH013,Cetirizine 10mg,11,Khalishpur
2024-01-05,PH013,Amoxicillin 500mg,9,Khalishpur
2024-01-05,PH013,Azithromycin 500mg,7,Khalishpur
2024-01-05,PH013,Zinc 20mg (child),10,Khalishpur
2024-01-05,PH013,Ciprofloxacin 500mg,8,Khalishpur
2024-01-05,PH013,Antihistamine Syrup,8,Khalishpur
2024-01-05,PH013,Vitamin C 500mg,19,Khalishpur
2024-01-05,PH013,Ranitidine 150mg,19,Khalishpur
2024-01-05,PH013,Antacid Tablet,15,Khalishpur
2024-01-05,PH013,Insulin (vial),4,Khalishpur
2024-01-05,PH013,Atorvastatin 10mg,6,Khalishpur
2024-01-05,PH013,Losartan 50mg,6,Khalishpur
2024-01-06,PH013,Paracetamol 500mg,30,Khalishpur
2024-01-06,PH013,ORS Sachet,15,Khalishpur
2024-01-06,PH013,Metronidazole 400mg,13,Khalishpur
2024-01-06,PH013,Cetirizine 10mg,14,Khalishpur
2024-01-06,PH013,Amoxicillin 500mg,12,Khalishpur
2024-01-06,PH013,Azithromycin 500mg,7,Khalishpur
2024-01-06,PH013,Zinc 20mg (child),9,Khalishpur
2024-01-06,PH013,Ciprofloxacin 500mg,7,Khalishpur
2024-01-06,PH013,Antihistamine Syrup,8,Khalishpur
2024-01-06,PH013,Vitamin C 500mg,25,Khalishpur
2024-01-06,PH013,Ranitidine 150mg,12,Khalishpur
2024-01-06,PH013,Antacid Tablet,23,Khalishpur
2024-01-06,PH013,Insulin (vial),5,Khalishpur
