date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH016,Paracetamol 500mg,32,Khalishpur
2024-01-01,PH016,ORS Sachet,16,Khalishpur
2024-01-01,PH016,Metronidazole 400mg,9,Khalishpur
2024-01-01,PH016,Cetirizine 10mg,13,Khalishpur
2024-01-01,PH016,Amoxicillin 500mg,9,Khalishpur
2024-01-01,PH016,Azithromycin 500mg,4,Khalishpur
2024-01-01,PH016,Zinc 20mg (child),12,Khalishpur
2024-01-01,PH016,Ciprofloxacin 500mg,8,Khalishpur
2024-01-01,PH016,Antihistamine Syrup,12,Khalishpur
2024-01-01,PH016,Vitamin C 500mg,19,Khalishpur
2024-01-01,PH016,Ranitidine 150mg,12,Khalishpur
2024-01-01,PH016,Antacid Tablet,19,Khalishpur
2024-01-01,PH016,Insulin (vial),3,Khalishpur
2024-01-01,PH016,Atorvastatin 10mg,6,Khalishpur
2024-01-01,PH016,Losartan 50mg,8,Khalishpur
2024-01-02,PH016,Paracetamol 500mg,32,Khalishpur
2024-01-02,PH016,ORS Sachet,19,Khalishpur
2024-01-02,PH016,Metronidazole 400mg,14,Khalishpur
2024-01-02,PH016,Cetirizine 10mg,12,Khalishpur
2024-01-02,PH016,Amoxicillin 500mg,12,Khalishpur
2024-01-02,PH016,Azithromycin 500mg,7,Khalishpur
2024-01-02,PH016,Zinc 20mg (child),9,Khalishpur
2024-01-02,PH016,Ciprofloxacin 500mg,5,Khalishpur
2024-01-02,PH016,Antihistamine Syrup,11,Khalishpur
2024-01-02,PH016,Vitamin C 500mg,26,Khalishpur
2024-01-02,PH016,Ranitidine 150mg,14,Khalishpur
2024-01-02,PH016,Antacid Tablet,18,Khalishpur
2024-01-02,PH016,Insulin (vial),4,Khalishpur
2024-01-02,PH016,Atorvastatin 10mg,5,Khalishpur
2024-01-02,PH016,Losartan 50mg,8,Khalishpur
2024-01-03,PH016,Paracetamol 500mg,33,Khalishpur
2024-01-03,PH016,ORS Sachet,14,Khalishpur
2024-01-03,PH016,Metronidazole 400mg,12,Khalishpur
2024-01-03,PH016,Cetirizine 10mg,16,Khalishpur
2024-01-03,PH016,Amoxicillin 500mg,8,Khalishpur
2024-01-03,PH016,Azithromycin 500mg,6,Khalishpur
2024-01-03,PH016,Zinc 20mg (child),10,Khalishpur
2024-01-03,PH016,Ciprofloxacin 500mg,6,Khalishpur
2024-01-03,PH016,Antihistamine Syrup,10,Khalishpur
2024-01-03,PH016,Vitamin C 500mg,18,Khalishpur
2024-01-03,PH016,Ranitidine 150mg,16,Khalishpur
2024-01-03,PH016,Antacid Tablet,24,Khalishpur
2024-01-03,PH016,Insulin (vial),5,Khalishpur
2024-01-03,PH016,Atorvastatin 10mg,6,Khalishpur
2024-01-03,PH016,Losartan 50mg,7,Khalishpur
2024-01-04,PH016,Paracetamol 500mg,43,Khalishpur
2024-01-04,PH016,ORS Sachet,22,Khalishpur
2024-01-04,PH016,Metronidazole 400mg,9,Khalishpur
2024-01-04,PH016,Cetirizine 10mg,14,Khalishpur
2024-01-04,PH016,Amoxicillin 500mg,9,Khalishpur
2024-01-04,PH016,Azithromycin 500mg,6,Khalishpur
2024-01-04,PH016,Zinc 20mg (child),8,Khalishpur
2024-01-04,PH016,Ciprofloxacin 500mg,8,Khalishpur
2024-01-04,PH016,Antihistamine Syrup,9,Khalishpur
2024-01-04,PH016,Vitamin C 500mg,18,Khalishpur
2024-01-04,PH016,Ranitidine 150mg,14,Khalishpur
2024-01-04,PH016,Antacid Tablet,18,Khalishpur
2024-01-04,PH016,Insulin (vial),5,Khalishpur
2024-01-04,PH016,Atorvastatin 10mg,6,Khalishpur
2024-01-04,PH016,Losartan 50mg,8,Khalishpur
2024-01-05,PH016,Paracetamol 500mg,30,Khalishpur
2024-01-05,PH016,ORS Sachet,19,Khalishpur
2024-01-05,PH016,Metronidazole 400mg,13,Khalishpur
2024-01-05,PH016,Cetirizine 10mg,10,Khalishpur
2024-01-05,PH016,Amoxicillin 500mg,11,Khalishpur
2024-01-05,PH016,Azithromycin 500mg,7,Khalishpur
2024-01-05,PH016,Zinc 20mg (child),10,Khalishpur
2024-01-05,PH016,Ciprofloxacin 500mg,5,Khalishpur
2024-01-05,PH016,Antihistamine Syrup,11,Khalishpur
2024-01-05,PH016,Vitamin C 500mg,19,Khalishpur
2024-01-05,PH016,Ranitidine 150mg,16,Khalishpur
2024-01-05,PH016,Antacid Tablet,15,Khalishpur
2024-01-05,PH016,Insulin (vial),3,Khalishpur
2024-01-05,PH016,Atorvastatin 10mg,6,Khalishpur
2024-01-05,PH016,Losartan 50mg,7,Khalishpur
2024-01-06,PH016,Paracetamol 500mg,30,Khalishpur
2024-01-06,PH016,ORS Sachet,22,Khalishpur
2024-01-06,PH016,Metronidazole 400mg,12,Khalishpur
2024-01-06,PH016,Cetirizine 10mg,15,Khalishpur
2024-01-06,PH016,Amoxicillin 500mg,8,Khalishpur
2024-01-06,PH016,Azithromycin 500mg,5,Khalishpur
2024-01-06,PH016,Zinc 20mg (child),11,Khalishpur
2024-01-06,PH016,Ciprofloxacin 500mg,6,Khalishpur
2024-01-06,PH016,Antihistamine Syrup,11,Khalishpur
2024-01-06,PH016,Vitamin C 500mg,21,Khalishpur
2024-01-06,PH016,Ranitidine 150mg,15,Khalishpur
2024-01-06,PH016,Antacid Tablet,19,Khalishpur
2024-01-06,PH016,Insulin (vial),6,Khalishpur
2024-01-06,PH016,Atorvastatin 10mg,5,Khalishpur
2024-01-06,PH016,Losartan 50mg,6,Khalishpur
