date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH017,Paracetamol 500mg,31,Batiaghata
2024-01-01,PH017,ORS Sachet,16,Batiaghata
2024-01-01,PH017,Metronidazole 400mg,10,Batiaghata
2024-01-01,PH017,Cetirizine 10mg,16,Batiaghata
2024-01-01,PH017,Amoxicillin 500mg,7,Batiaghata
2024-01-01,PH017,Azithromycin 500mg,6,Batiaghata
2024-01-01,PH017,Zinc 20mg (child),10,Batiaghata
2024-01-01,PH017,Ciprofloxacin 500mg,7,Batiaghata
2024-01-01,PH017,Antihistamine Syrup,12,Batiaghata
2024-01-01,PH017,Vitamin C 500mg,16,Batiaghata
2024-01-01,PH017,Ranitidine 150mg,18,Batiaghata
2024-01-01,PH017,Antacid Tablet,17,Batiaghata
2024-01-01,PH017,Insulin (vial),4,Batiaghata
2024-01-01,PH017,Atorvastatin 10mg,7,Batiaghata
2024-01-01,PH017,Losartan 50mg,9,Batiaghata
2024-01-02,PH017,Paracetamol 500mg,31,Batiaghata
2024-01-02,PH017,ORS Sachet,21,Batiaghata
2024-01-02,PH017,Metronidazole 400mg,11,Batiaghata
2024-01-02,PH017,Cetirizine 10mg,11,Batiaghata
2024-01-02,PH017,Amoxicillin 500mg,10,Batiaghata
2024-01-02,PH017,Azithromycin 500mg,7,Batiaghata
2024-01-02,PH017,Zinc 20mg (child),8,Batiaghata
2024-01-02,PH017,Ciprofloxacin 500mg,8,Batiaghata
2024-01-02,PH017,Antihistamine Syrup,11,Batiaghata
2024-01-02,PH017,Vitamin C 500mg,24,Batiaghata
2024-01-02,PH017,Ranitidine 150mg,19,Batiaghata
2024-01-02,PH017,Antacid Tablet,20,Batiaghata
2024-01-02,PH017,Insulin (vial),5,Batiaghata
2024-01-02,PH017,Atorvastatin 10mg,5,Batiaghata
2024-01-02,PH017,Losartan 50mg,7,Batiaghata
2024-01-03,PH017,Paracetamol 500mg,35,Batiaghata
2024-01-03,PH017,ORS Sachet,16,Batiaghata
2024-01-03,PH017,Metronidazole 400mg,14,Batiaghata
2024-01-03,PH017,Cetirizine 10mg,16,Batiaghata
2024-01-03,PH017,Amoxicillin 500mg,9,Batiaghata
2024-01-03,PH017,Azithromycin 500mg,5,Batiaghata
2024-01-03,PH017,Zinc 20mg (child),11,Batiaghata
2024-01-03,PH017,Ciprofloxacin 500mg,7,Batiaghata
2024-01-03,PH017,Antihistamine Syrup,12,Batiaghata
2024-01-03,PH017,Vitamin C 500mg,26,Batiaghata
