date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH004,Paracetamol 500mg,34,Khulna Sadar
2024-01-01,PH004,ORS Sachet,16,Khulna Sadar
2024-01-01,PH004,Metronidazole 400mg,12,Khulna Sadar
2024-01-01,PH004,Cetirizine 10mg,15,Khulna Sadar
2024-01-01,PH004,Amoxicillin 500mg,9,Khulna Sadar
2024-01-01,PH004,Azithromycin 500mg,7,Khulna Sadar
2024-01-01,PH004,Zinc 20mg (child),11,Khulna Sadar
2024-01-01,PH004,Ciprofloxacin 500mg,6,Khulna Sadar
2024-01-01,PH004,Antihistamine Syrup,12,Khulna Sadar
2024-01-01,PH004,Vitamin C 500mg,23,Khulna Sadar
2024-01-01,PH004,Ranitidine 150mg,13,Khulna Sadar
2024-01-01,PH004,Antacid Tablet,17,Khulna Sadar
2024-01-01,PH004,Insulin (vial),5,Khulna Sadar
2024-01-01,PH004,Atorvastatin 10mg,5,Khulna Sadar
2024-01-01,PH004,Losartan 50mg,7,Khulna Sadar
2024-01-02,PH004,Paracetamol 500mg,37,Khulna Sadar
2024-01-02,PH004,ORS Sachet,20,Khulna Sadar
2024-01-02,PH004,Metronidazole 400mg,9,Khulna Sadar
2024-01-02,PH004,Cetirizine 10mg,10,Khulna Sadar
2024-01-02,PH004,Amoxicillin 500mg,8,Khulna Sadar
2024-01-02,PH004,Azithromycin 500mg,5,Khulna Sadar
2024-01-02,PH004,Zinc 20mg (child),10,Khulna Sadar
2024-01-02,PH004,Ciprofloxacin 500mg,8,Khulna Sadar
2024-01-02,PH004,Antihistamine Syrup,10,Khulna Sadar
2024-01-02,PH004,Vitamin C 500mg,21,Khulna Sadar
2024-01-02,PH004,Ranitidine 150mg,19,Khulna Sadar
2024-01-02,PH004,Antacid Tablet,22,Khulna Sadar
2024-01-02,PH004,Insulin (vial),6,Khulna Sadar
2024-01-02,PH004,Atorvastatin 10mg,6,Khulna Sadar
2024-01-02,PH004,Losartan 50mg,8,Khulna Sadar
2024-01-03,PH004,Paracetamol 500mg,34,Khulna Sadar
2024-01-03,PH004,ORS Sachet,15,Khulna Sadar
2024-01-03,PH004,Metronidazole 400mg,14,Khulna Sadar
2024-01-03,PH004,Cetirizine 10mg,14,Khulna Sadar
2024-01-03,PH004,Amoxicillin 500mg,11,Khulna Sadar
2024-01-03,PH004,Azithromycin 500mg,5,Khulna Sadar
2024-01-03,PH004,Zinc 20mg (child),10,Khulna Sadar
2024-01-03,PH004,Ciprofloxacin 500mg,7,Khulna Sadar
2024-01-03,PH004,Antihistamine Syrup,8,Khulna Sadar
2024-01-03,PH004,Vitamin C 500mg,20,Khulna Sadar
2024-01-03,PH004,Ranitidine 150mg,17,Khulna Sadar
2024-01-03,PH004,Antacid Tablet,16,Khulna Sadar
2024-01-03,PH004,Insulin (vial),6,Khulna Sadar
2024-01-03,PH004,Atorvastatin 10mg,5,Khulna Sadar
2024-01-03,PH004,Losartan 50mg,6,Khulna Sadar
2024-01-04,PH004,Paracetamol 500mg,39,Khulna Sadar
2024-01-04,PH004,ORS Sachet,16,Khulna Sadar
2024-01-04,PH004,Metronidazole 400mg,14,Khulna Sadar
2024-01-04,PH004,Cetirizine 10mg,17,Khulna Sadar
2024-01-04,PH004,Amoxicillin 500mg,9,Khulna Sadar
2024-01-04,PH004,Azithromycin 500mg,6,Khulna Sadar
2024-01-04,PH004,Zinc 20mg (child),8,Khulna Sadar
2024-01-04,PH004,Ciprofloxacin 500mg,6,Khulna Sadar
2024-01-04,PH004,Antihistamine Syrup,9,Khulna Sadar
2024-01-04,PH004,Vitamin C 500mg,22,Khulna Sadar
2024-01-04,PH004,Ranitidine 150mg,12,Khulna Sadar
2024-01-04,PH004,Antacid Tablet,23,Khulna Sadar
2024-01-04,PH004,Insulin (vial),5,Khulna Sadar
2024-01-04,PH004,Atorvastatin 10mg,5,Khulna Sadar
2024-01-04,PH004,Losartan 50mg,7,Khulna Sadar
2024-01-05,PH004,Paracetamol 500mg,40,Khulna Sadar
2024-01-05,PH004,ORS Sachet,15,Khulna Sadar
2024-01-05,PH004,Metronidazole 400mg,13,Khulna Sadar
2024-01-05,PH004,Cetirizine 10mg,16,Khulna Sadar
2024-01-05,PH004,Amoxicillin 500mg,8,Khulna Sadar
2024-01-05,PH004,Azithromycin 500mg,7,Khulna Sadar
2024-01-05,PH004,Zinc 20mg (child),7,Khulna Sadar
2024-01-05,PH004,Ciprofloxacin 500mg,5,Khulna Sadar
2024-01-05,PH004,Antihistamine Syrup,11,Khulna Sadar
2024-01-05,PH004,Vitamin C 500mg,23,Khulna Sadar
2024-01-05,PH004,Ranitidine 150mg,19,Khulna Sadar
2024-01-05,PH004,Antacid Tablet,21,Khulna Sadar
2024-01-05,PH004,Insulin (vial),4,Khulna Sadar
2024-01-05,PH004,Atorvastatin 10mg,7,Khulna Sadar
2024-01-05,PH004,Losartan 50mg,9,Khulna Sadar
2024-01-06,PH004,Paracetamol 500mg,28,Khulna Sadar
2024-01-06,PH004,ORS Sachet,14,Khulna Sadar
2024-01-06,PH004,Metronidazole 400mg,13,Khulna Sadar
2024-01-06,PH004,Cetirizine 10mg,11,Khulna Sadar
2024-01-06,PH004,Amoxicillin 500mg,11,Khulna Sadar
2024-01-06,PH004,Azithromycin 500mg,6,Khulna Sadar
2024-01-06,PH004,Zinc 20mg (child),11,Khulna Sadar
2024-01-06,PH004,Ciprofloxacin 500mg,6,Khulna Sadar
2024-01-06,PH004,Antihistamine Syrup,13,Khulna Sadar
2024-01-06,PH004,Vitamin C 500mg,17,Khulna Sadar
2024-01-06,PH004,Ranitidine 150mg,12,Khulna Sadar
2024-01-06,PH004,Antacid Tablet,20,Khulna Sadar
2024-01-06,PH004,Insulin (vial),4,Khulna Sadar
2024-01-06,PH004,Atorvastatin 10mg,5,Khulna Sadar
2024-01-06,PH004,Losartan 50mg,7,Khulna Sadar
2024-01-07,PH004,Paracetamol 500mg,42,Khulna Sadar
2024-01-07,PH004,ORS Sachet,15,Khulna Sadar
2024-01-07,PH004,Metronidazole 400mg,11,Khulna Sadar
2024-01-07,PH004,Cetirizine 10mg,11,Khulna Sadar
2024-01-07,PH004,Amoxicillin 500mg,12,Khulna Sadar
2024-01-07,PH004,Azithromycin 500mg,6,Khulna Sadar
2024-01-07,PH004,Zinc 20mg (child),8,Khulna Sadar
2024-01-07,PH004,Ciprofloxacin 500mg,8,Khulna Sadar
2024-01-07,PH004,Antihistamine Syrup,13,Khulna Sadar
2024-01-07,PH004,Vitamin C 500mg,21,Khulna Sadar
2024-01-07,PH004,Ranitidine 150mg,17,Khulna Sadar
2024-01-07,PH004,Antacid Tablet,20,Khulna Sadar
2024-01-07,PH004,Insulin (vial),5,Khulna Sadar
2024-01-07,PH004,Atorvastatin 10mg,8,Khulna Sadar
2024-01-07,PH004,Losartan 50mg,6,Khulna Sadar
2024-01-08,PH004,Paracetamol 500mg,38,Khulna Sadar
2024-01-08,PH004,ORS Sachet,18,Khulna Sadar
2024-01-08,PH004,Metronidazole 400mg,9,Khulna Sadar
2024-01-08,PH004,Cetirizine 10mg,16,Khulna Sadar
2024-01-08,PH004,Amoxicillin 500mg,11,Khulna Sadar
2024-01-08,PH004,Azithromycin 500mg,7,Khulna Sadar
2024-01-08,PH004,Zinc 20mg (child),10,Khulna Sadar
2024-01-08,PH004,Ciprofloxacin 500mg,5,Khulna Sadar
2024-01-08,PH004,Antihistamine Syrup,8,Khulna Sadar
2024-01-08,PH004,Vitamin C 500mg,22,Khulna Sadar
2024-01-08,PH004,Ranitidine 150mg,15,Khulna Sadar
2024-01-08,PH004,Antacid Tablet,24,Khulna Sadar
2024-01-08,PH004,Insulin (vial),3,Khulna Sadar
2024-01-08,PH004,Atorvastatin 10mg,7,Khulna Sadar
2024-01-08,PH004,Losartan 50mg,7,Khulna Sadar
2024-01-09,PH004,Paracetamol 500mg,31,Khulna Sadar
2024-01-09,PH004,ORS Sachet,19,Khulna Sadar
2024-01-09,PH004,Metronidazole 400mg,11,Khulna Sadar
2024-01-09,PH004,Cetirizine 10mg,10,Khulna Sadar
2024-01-09,PH004,Amoxicillin 500mg,8,Khulna Sadar
2024-01-09,PH004,Azithromycin 500mg,5,Khulna Sadar
2024-01-09,PH004,Zinc 20mg (child),7,Khulna Sadar
2024-01-09,PH004,Ciprofloxacin 500mg,8,Khulna Sadar
2024-01-09,PH004,Antihistamine Syrup,12,Khulna Sadar
2024-01-09,PH004,Vitamin C 500mg,26,Khulna Sadar
2024-01-09,PH004,Ranitidine 150mg,18,Khulna Sadar
2024-01-09,PH004,Antacid Tablet,19,Khulna Sadar
2024-01-09,PH004,Insulin (vial),4,Khulna Sadar
2024-01-09,PH004,Atorvastatin 10mg,6,Khulna Sadar
