resource_code,medicine_name,category,unit,quantity_available,avg_daily_demand,total_quantity_sold,base_daily_sales,outbreak_multiplier,signals_disease,last_updated
MED-001-PARACE,Paracetamol 500mg,medicine,tablet,412,49.94,4495,30,3.5,Fever/Flu,2024-03-30T23:59:59Z
MED-002-ORSSAC,ORS Sachet,medicine,sachet,160,17.46,1571,15,4.0,Diarrhea,2024-03-30T23:59:59Z
MED-003-METRON,Metronidazole 400mg,medicine,tablet,106,11.41,1027,10,3.0,Diarrhea,2024-03-30T23:59:59Z
MED-004-CETIRI,Cetirizine 10mg,medicine,tablet,146,16.92,1523,12,2.5,Allergy/Fever,2024-03-30T23:59:59Z
MED-005-AMOXIC,Amoxicillin 500mg,medicine,tablet,87,9.43,849,8,2.8,Respiratory,2024-03-30T23:59:59Z
MED-006-AZITHR,Azithromycin 500mg,medicine,tablet,53,5.22,470,5,3.2,Respiratory,2024-03-30T23:59:59Z
MED-007-ZINC20,Zinc 20mg (child),medicine,tablet,88,9.37,843,8,3.5,Diarrhea,2024-03-30T23:59:59Z
MED-008-CIPROF,Ciprofloxacin 500mg,medicine,tablet,62,6.42,578,6,2.5,Diarrhea,2024-03-30T23:59:59Z
MED-009-ANTIHI,Antihistamine Syrup,medicine,bottle,98,10.56,950,10,2.0,Allergy/Fever,2024-03-30T23:59:59Z
MED-010-VITAMI,Vitamin C 500mg,medicine,tablet,213,24.42,2198,20,1.8,Fever/Flu,2024-03-30T23:59:59Z
MED-011-RANITI,Ranitidine 150mg,medicine,tablet,138,15.31,1378,14,1.5,Normal,2024-03-30T23:59:59Z
MED-012-ANTACI,Antacid Tablet,medicine,tablet,176,19.64,1768,18,1.3,Normal,2024-03-30T23:59:59Z
MED-013-INSULI,Insulin (vial),medicine,vial,41,4.44,400,4,1.1,Normal,2024-03-30T23:59:59Z
MED-014-ATORVA,Atorvastatin 10mg,medicine,tablet,60,6.62,596,6,1.0,Normal,2024-03-30T23:59:59Z
MED-015-LOSART,Losartan 50mg,medicine,tablet,68,7.43,669,7,1.0,Normal,2024-03-30T23:59:59Z
