date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH009,Paracetamol 500mg,33,Daulatpur
2024-01-01,PH009,ORS Sachet,16,Daulatpur
2024-01-01,PH009,Metronidazole 400mg,12,Daulatpur
2024-01-01,PH009,Cetirizine 10mg,17,Daulatpur
2024-01-01,PH009,Amoxicillin 500mg,10,Daulatpur
2024-01-01,PH009,Azithromycin 500mg,5,Daulatpur
2024-01-01,PH009,Zinc 20mg (child),11,Daulatpur
2024-01-01,PH009,Ciprofloxacin 500mg,8,Daulatpur
2024-01-01,PH009,Antihistamine Syrup,12,Daulatpur
2024-01-01,PH009,Vitamin C 500mg,20,Daulatpur
2024-01-01,PH009,Ranitidine 150mg,13,Daulatpur
2024-01-01,PH009,Antacid Tablet,19,Daulatpur
2024-01-01,PH009,Insulin (vial),4,Daulatpur
2024-01-01,PH009,Atorvastatin 10mg,5,Daulatpur
2024-01-01,PH009,Losartan 50mg,7,Daulatpur
2024-01-02,PH009,Paracetamol 500mg,40,Daulatpur
2024-01-02,PH009,ORS Sachet,20,Daulatpur
2024-01-02,PH009,Metronidazole 400mg,11,Daulatpur
2024-01-02,PH009,Cetirizine 10mg,11,Daulatpur
2024-01-02,PH009,Amoxicillin 500mg,8,Daulatpur
2024-01-02,PH009,Azithromycin 500mg,6,Daulatpur
2024-01-02,PH009,Zinc 20mg (child),8,Daulatpur
2024-01-02,PH009,Ciprofloxacin 500mg,8,Daulatpur
2024-01-02,PH009,Antihistamine Syrup,9,Daulatpur
2024-01-02,PH009,Vitamin C 500mg,19,Daulatpur
2024-01-02,PH009,Ranitidine 150mg,12,Daulatpur
2024-01-02,PH009,Antacid Tablet,22,Daulatpur
2024-01-02,PH009,Insulin (vial),5,Daulatpur
2024-01-02,PH009,Atorvastatin 10mg,6,Daulatpur
2024-01-02,PH009,Losartan 50mg,7,Daulatpur
2024-01-03,PH009,Paracetamol 500mg,33,Daulatpur
2024-01-03,PH009,ORS Sachet,18,Daulatpur
2024-01-03,PH009,Metronidazole 400mg,13,Daulatpur
2024-01-03,PH009,Cetirizine 10mg,16,Daulatpur
2024-01-03,PH009,Amoxicillin 500mg,8,Daulatpur
2024-01-03,PH009,Azithromycin 500mg,6,Daulatpur
2024-01-03,PH009,Zinc 20mg (child),8,Daulatpur
2024-01-03,PH009,Ciprofloxacin 500mg,8,Daulatpur
2024-01-03,PH009,Antihistamine Syrup,12,Daulatpur
2024-01-03,PH009,Vitamin C 500mg,19,Daulatpur
2024-01-03,PH009,Ranitidine 150mg,14,Daulatpur
2024-01-03,PH009,Antacid Tablet,24,Daulatpur
2024-01-03,PH009,Insulin (vial),6,Daulatpur
2024-01-03,PH009,Atorvastatin 10mg,7,Daulatpur
2024-01-03,PH009,Losartan 50mg,6,Daulatpur
2024-01-04,PH009,Paracetamol 500mg,37,Daulatpur
2024-01-04,PH009,ORS Sachet,15,Daulatpur
2024-01-04,PH009,Metronidazole 400mg,11,Daulatpur
2024-01-04,PH009,Cetirizine 10mg,12,Daulatpur
2024-01-04,PH009,Amoxicillin 500mg,8,Daulatpur
2024-01-04,PH009,Azithromycin 500mg,7,Daulatpur
2024-01-04,PH009,Zinc 20mg (child),11,Daulatpur
2024-01-04,PH009,Ciprofloxacin 500mg,7,Daulatpur
2024-01-04,PH009,Antihistamine Syrup,9,Daulatpur
2024-01-04,PH009,Vitamin C 500mg,25,Daulatpur
2024-01-04,PH009,Ranitidine 150mg,19,Daulatpur
2024-01-04,PH009,Antacid Tablet,15,Daulatpur
2024-01-04,PH009,Insulin (vial),4,Daulatpur
2024-01-04,PH009,Atorvastatin 10mg,6,Daulatpur
2024-01-04,PH009,Losartan 50mg,6,Daulatpur
2024-01-05,PH009,Paracetamol 500mg,37,Daulatpur
2024-01-05,PH009,ORS Sachet,13,Daulatpur
2024-01-05,PH009,Metronidazole 400mg,12,Daulatpur
2024-01-05,PH009,Cetirizine 10mg,16,Daulatpur
2024-01-05,PH009,Amoxicillin 500mg,10,Daulatpur
2024-01-05,PH009,Azithromycin 500mg,6,Daulatpur
2024-01-05,PH009,Zinc 20mg (child),9,Daulatpur
2024-01-05,PH009,Ciprofloxacin 500mg,6,Daulatpur
2024-01-05,PH009,Antihistamine Syrup,12,Daulatpur
2024-01-05,PH009,Vitamin C 500mg,24,Daulatpur
2024-01-05,PH009,Ranitidine 150mg,12,Daulatpur
2024-01-05,PH009,Antacid Tablet,18,Daulatpur
2024-01-05,PH009,Insulin (vial),4,Daulatpur
2024-01-05,PH009,Atorvastatin 10mg,5,Daulatpur
2024-01-05,PH009,Losartan 50mg,7,Daulatpur
2024-01-06,PH009,Paracetamol 500mg,30,Daulatpur
2024-01-06,PH009,ORS Sachet,19,Daulatpur
2024-01-06,PH009,Metronidazole 400mg,11,Daulatpur
2024-01-06,PH009,Cetirizine 10mg,13,Daulatpur
2024-01-06,PH009,Amoxicillin 500mg,10,Daulatpur
2024-01-06,PH009,Azithromycin 500mg,6,Daulatpur
2024-01-06,PH009,Zinc 20mg (child),8,Daulatpur
2024-01-06,PH009,Ciprofloxacin 500mg,7,Daulatpur
2024-01-06,PH009,Antihistamine Syrup,13,Daulatpur
2024-01-06,PH009,Vitamin C 500mg,24,Daulatpur
2024-01-06,PH009,Ranitidine 150mg,19,Daulatpur
2024-01-06,PH009,Antacid Tablet,15,Daulatpur
