resource_code,medicine_name,category,unit,quantity_available,avg_daily_demand,total_quantity_sold,base_daily_sales,outbreak_multiplier,signals_disease,last_updated
MED-001-PARACE,Paracetamol 500mg,medicine,tablet,487,48.14,4333,30,3.5,Fever/Flu,2024-03-30T23:59:59Z
MED-002-ORSSAC,ORS Sachet,medicine,sachet,195,17.72,1595,15,4.0,Diarrhea,2024-03-30T23:59:59Z
MED-003-METRON,Metronidazole 400mg,medicine,tablet,132,11.99,1079,10,3.0,Diarrhea,2024-03-30T23:59:59Z
MED-004-CETIRI,Cetirizine 10mg,medicine,tablet,177,16.88,1519,12,2.5,Allergy/Fever,2024-03-30T23:59:59Z
MED-005-AMOXIC,Amoxicillin 500mg,medicine,tablet,107,9.66,869,8,2.8,Respiratory,2024-03-30T23:59:59Z
MED-006-AZITHR,Azithromycin 500mg,medicine,tablet,65,5.47,492,5,3.2,Respiratory,2024-03-30T23:59:59Z
MED-007-ZINC20,Zinc 20mg (child),medicine,tablet,108,9.56,860,8,3.5,Diarrhea,2024-03-30T23:59:59Z
MED-008-CIPROF,Ciprofloxacin 500mg,medicine,tablet,75,6.53,588,6,2.5,Diarrhea,2024-03-30T23:59:59Z
MED-009-ANTIHI,Antihistamine Syrup,medicine,bottle,118,10.47,942,10,2.0,Allergy/Fever,2024-03-30T23:59:59Z
MED-010-VITAMI,Vitamin C 500mg,medicine,tablet,271,25.79,2321,20,1.8,Fever/Flu,2024-03-30T23:59:59Z
MED-011-RANITI,Ranitidine 150mg,medicine,tablet,169,15.49,1394,14,1.5,Normal,2024-03-30T23:59:59Z
MED-012-ANTACI,Antacid Tablet,medicine,tablet,213,19.44,1750,18,1.3,Normal,2024-03-30T23:59:59Z
MED-013-INSULI,Insulin (vial),medicine,vial,50,4.44,400,4,1.1,Normal,2024-03-30T23:59:59Z
MED-014-ATORVA,Atorvastatin 10mg,medicine,tablet,72,6.49,584,6,1.0,Normal,2024-03-30T23:59:59Z
MED-015-LOSART,Losartan 50mg,medicine,tablet,83,7.54,679,7,1.0,Normal,2024-03-30T23:59:59Z
