date,pharmacy_id,medicine_name,quantity_sold,upazila
2024-01-01,PH000,Paracetamol 500mg,40,Khulna Sadar
2024-01-01,PH000,ORS Sachet,18,Khulna Sadar
2024-01-01,PH000,Metronidazole 400mg,14,Khulna Sadar
2024-01-01,PH000,Cetirizine 10mg,17,Khulna Sadar
2024-01-01,PH000,Amoxicillin 500mg,10,Khulna Sadar
2024-01-01,PH000,Azithromycin 500mg,4,Khulna Sadar
2024-01-01,PH000,Zinc 20mg (child),7,Khulna Sadar
2024-01-01,PH000,Ciprofloxacin 500mg,6,Khulna Sadar
2024-01-01,PH000,Antihistamine Syrup,12,Khulna Sadar
2024-01-01,PH000,Vitamin C 500mg,17,Khulna Sadar
2024-01-01,PH000,Ranitidine 150mg,15,Khulna Sadar
2024-01-01,PH000,Antacid Tablet,15,Khulna Sadar
2024-01-01,PH000,Insulin (vial),4,Khulna Sadar
2024-01-01,PH000,Atorvastatin 10mg,5,Khulna Sadar
2024-01-01,PH000,Losartan 50mg,7,Khulna Sadar
2024-01-01,PH001,Paracetamol 500mg,35,Khulna Sadar
2024-01-01,PH001,ORS Sachet,15,Khulna Sadar
2024-01-01,PH001,Metronidazole 400mg,13,Khulna Sadar
2024-01-01,PH001,Cetirizine 10mg,10,Khulna Sadar
2024-01-01,PH001,Amoxicillin 500mg,8,Khulna Sadar
2024-01-01,PH001,Azithromycin 500mg,5,Khulna Sadar
2024-01-01,PH001,Zinc 20mg (child),9,Khulna Sadar
2024-01-01,PH001,Ciprofloxacin 500mg,7,Khulna Sadar
2024-01-01,PH001,Antihistamine Syrup,10,Khulna Sadar
2024-01-01,PH001,Vitamin C 500mg,24,Khulna Sadar
2024-01-01,PH001,Ranitidine 150mg,19,Khulna Sadar
2024-01-01,PH001,Antacid Tablet,16,Khulna Sadar
2024-01-01,PH001,Insulin (vial),5,Khulna Sadar
2024-01-01,PH001,Atorvastatin 10mg,7,Khulna Sadar
2024-01-01,PH001,Losartan 50mg,8,Khulna Sadar
2024-01-01,PH002,Paracetamol 500mg,36,Khulna Sadar
2024-01-01,PH002,ORS Sachet,17,Khulna Sadar
2024-01-01,PH002,Metronidazole 400mg,9,Khulna Sadar
2024-01-01,PH002,Cetirizine 10mg,11,Khulna Sadar
2024-01-01,PH002,Amoxicillin 500mg,8,Khulna Sadar
2024-01-01,PH002,Azithromycin 500mg,5,Khulna Sadar
2024-01-01,PH002,Zinc 20mg (child),8,Khulna Sadar
2024-01-01,PH002,Ciprofloxacin 500mg,5,Khulna Sadar
2024-01-01,PH002,Antihistamine Syrup,11,Khulna Sadar
2024-01-01,PH002,Vitamin C 500mg,24,Khulna Sadar
2024-01-01,PH002,Ranitidine 150mg,18,Khulna Sadar
2024-01-01,PH002,Antacid Tablet,23,Khulna Sadar
2024-01-01,PH002,Insulin (vial),4,Khulna Sadar
2024-01-01,PH002,Atorvastatin 10mg,8,Khulna Sadar
2024-01-01,PH002,Losartan 50mg,6,Khulna Sadar
2024-01-01,PH003,Paracetamol 500mg,27,Khulna Sadar
2024-01-01,PH003,ORS Sachet,16,Khulna Sadar
2024-01-01,PH003,Metronidazole 400mg,12,Khulna Sadar
2024-01-01,PH003,Cetirizine 10mg,10,Khulna Sadar
2024-01-01,PH003,Amoxicillin 500mg,8,Khulna Sadar
2024-01-01,PH003,Azithromycin 500mg,5,Khulna Sadar
2024-01-01,PH003,Zinc 20mg (child),11,Khulna Sadar
2024-01-01,PH003,Ciprofloxacin 500mg,6,Khulna Sadar
2024-01-01,PH003,Antihistamine Syrup,10,Khulna Sadar
2024-01-01,PH003,Vitamin C 500mg,20,Khulna Sadar
2024-01-01,PH003,Ranitidine 150mg,12,Khulna Sadar
2024-01-01,PH003,Antacid Tablet,23,Khulna Sadar
2024-01-01,PH003,Insulin (vial),6,Khulna Sadar
2024-01-01,PH003,Atorvastatin 10mg,7,Khulna Sadar
2024-01-01,PH003,Losartan 50mg,7,Khulna Sadar
2024-01-01,PH004,Paracetamol 500mg,34,Khulna Sadar
2024-01-01,PH004,ORS Sachet,16,Khulna Sadar
2024-01-01,PH004,Metronidazole 400mg,12,Khulna Sadar
2024-01-01,PH004,Cetirizine 10mg,15,Khulna Sadar
2024-01-01,PH004,Amoxicillin 500mg,9,Khulna Sadar
2024-01-01,PH004,Azithromycin 500mg,7,Khulna Sadar
2024-01-01,PH004,Zinc 20mg (child),11,Khulna Sadar
2024-01-01,PH004,Ciprofloxacin 500mg,6,Khulna Sadar
2024-01-01,PH004,Antihistamine Syrup,12,Khulna Sadar
2024-01-01,PH004,Vitamin C 500mg,23,Khulna Sadar
2024-01-01,PH004,Ranitidine 150mg,13,Khulna Sadar
2024-01-01,PH004,Antacid Tablet,17,Khulna Sadar
2024-01-01,PH004,Insulin (vial),5,Khulna Sadar
2024-01-01,PH004,Atorvastatin 10mg,5,Khulna Sadar
2024-01-01,PH004,Losartan 50mg,7,Khulna Sadar
2024-01-01,PH005,Paracetamol 500mg,43,Sonadanga
2024-01-01,PH005,ORS Sachet,15,Sonadanga
2024-01-01,PH005,Metronidazole 400mg,12,Sonadanga
2024-01-01,PH005,Cetirizine 10mg,16,Sonadanga
2024-01-01,PH005,Amoxicillin 500mg,11,Sonadanga
2024-01-01,PH005,Azithromycin 500mg,6,Sonadanga
2024-01-01,PH005,Zinc 20mg (child),10,Sonadanga
2024-01-01,PH005,Ciprofloxacin 500mg,8,Sonadanga
2024-01-01,PH005,Antihistamine Syrup,9,Sonadanga
2024-01-01,PH005,Vitamin C 500mg,26,Sonadanga
2024-01-01,PH005,Ranitidine 150mg,15,Sonadanga
2024-01-01,PH005,Antacid Tablet,21,Sonadanga
2024-01-01,PH005,Insulin (vial),5,Sonadanga
2024-01-01,PH005,Atorvastatin 10mg,6,Sonadanga
2024-01-01,PH005,Losartan 50mg,8,Sonadanga
2024-01-01,PH006,Paracetamol 500mg,36,Sonadanga
2024-01-01,PH006,ORS Sachet,22,Sonadanga
