date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH010,Paracetamol 500mg,41,Daulatpur
2024-01-01,PH010,ORS Sachet,19,Daulatpur
2024-01-01,PH010,Metronidazole 400mg,11,Daulatpur
2024-01-01,PH010,Cetirizine 10mg,17,Daulatpur
2024-01-01,PH010,Amoxicillin 500mg,8,Daulatpur
2024-01-01,PH010,Azithromycin 500mg,5,Daulatpur
2024-01-01,PH010,Zinc 20mg (child),8,Daulatpur
2024-01-01,PH010,Ciprofloxacin 500mg,7,Daulatpur
2024-01-01,PH010,Antihistamine Syrup,13,Daulatpur
2024-01-01,PH010,Vitamin C 500mg,20,Daulatpur
2024-01-01,PH010,Ranitidine 150mg,18,Daulatpur
2024-01-01,PH010,Antacid Tablet,24,Daulatpur
2024-01-01,PH010,Insulin (vial),4,Daulatpur
2024-01-01,PH010,Atorvastatin 10mg,8,Daulatpur
2024-01-01,PH010,Losartan 50mg,9,Daulatpur
2024-01-02,PH010,Paracetamol 500mg,41,Daulatpur
2024-01-02,PH010,ORS Sachet,18,Daulatpur
2024-01-02,PH010,Metronidazole 400mg,10,Daulatpur
2024-01-02,PH010,Cetirizine 10mg,17,Daulatpur
2024-01-02,PH010,Amoxicillin 500mg,11,Daulatpur
2024-01-02,PH010,Azithromycin 500mg,5,Daulatpur
2024-01-02,PH010,Zinc 20mg (child),9,Daulatpur
2024-01-02,PH010,Ciprofloxacin 500mg,7,Daulatpur
2024-01-02,PH010,Antihistamine Syrup,11,Daulatpur
2024-01-02,PH010,Vitamin C 500mg,21,Daulatpur
2024-01-02,PH010,Ranitidine 150mg,13,Daulatpur
2024-01-02,PH010,Antacid Tablet,18,Daulatpur
2024-01-02,PH010,Insulin (vial),4,Daulatpur
2024-01-02,PH010,Atorvastatin 10mg,7,Daulatpur
2024-01-02,PH010,Losartan 50mg,8,Daulatpur
2024-01-03,PH010,Paracetamol 500mg,30,Daulatpur
2024-01-03,PH010,ORS Sachet,18,Daulatpur
2024-01-03,PH010,Metronidazole 400mg,10,Daulatpur
2024-01-03,PH010,Cetirizine 10mg,14,Daulatpur
2024-01-03,PH010,Amoxicillin 500mg,7,Daulatpur
2024-01-03,PH010,Azithromycin 500mg,5,Daulatpur
2024-01-03,PH010,Zinc 20mg (child),9,Daulatpur
2024-01-03,PH010,Ciprofloxacin 500mg,8,Daulatpur
2024-01-03,PH010,Antihistamine Syrup,10,Daulatpur
2024-01-03,PH010,Vitamin C 500mg,26,Daulatpur
2024-01-03,PH010,Ranitidine 150mg,13,Daulatpur
2024-01-03,PH010,Antacid Tablet,15,Daulatpur
2024-01-03,PH010,Insulin (vial),4,Daulatpur
2024-01-03,PH010,Atorvastatin 10mg,5,Daulatpur
2024-01-03,PH010,Losartan 50mg,9,Daulatpur
2024-01-04,PH010,Paracetamol 500mg,36,Daulatpur
2024-01-04,PH010,ORS Sachet,20,Daulatpur
2024-01-04,PH010,Metronidazole 400mg,12,Daulatpur
2024-01-04,PH010,Cetirizine 10mg,16,Daulatpur
2024-01-04,PH010,Amoxicillin 500mg,10,Daulatpur
2024-01-04,PH010,Azithromycin 500mg,6,Daulatpur
2024-01-04,PH010,Zinc 20mg (child),9,Daulatpur
2024-01-04,PH010,Ciprofloxacin 500mg,7,Daulatpur
2024-01-04,PH010,Antihistamine Syrup,9,Daulatpur
2024-01-04,PH010,Vitamin C 500mg,21,Daulatpur
2024-01-04,PH010,Ranitidine 150mg,14,Daulatpur
2024-01-04,PH010,Antacid Tablet,18,Daulatpur
2024-01-04,PH010,Insulin (vial),4,Daulatpur
2024-01-04,PH010,Atorvastatin 10mg,5,Daulatpur
2024-01-04,PH010,Losartan 50mg,8,Daulatpur
2024-01-05,PH010,Paracetamol 500mg,31,Daulatpur
2024-01-05,PH010,ORS Sachet,21,Daulatpur
2024-01-05,PH010,Metronidazole 400mg,14,Daulatpur
2024-01-05,PH010,Cetirizine 10mg,14,Daulatpur
2024-01-05,PH010,Amoxicillin 500mg,9,Daulatpur
2024-01-05,PH010,Azithromycin 500mg,5,Daulatpur
2024-01-05,PH010,Zinc 20mg (child),11,Daulatpur
2024-01-05,PH010,Ciprofloxacin 500mg,5,Daulatpur
2024-01-05,PH010,Antihistamine Syrup,10,Daulatpur
2024-01-05,PH010,Vitamin C 500mg,17,Daulatpur
2024-01-05,PH010,Ranitidine 150mg,16,Daulatpur
2024-01-05,PH010,Antacid Tablet,19,Daulatpur
2024-01-05,PH010,Insulin (vial),5,Daulatpur
2024-01-05,PH010,Atorvastatin 10mg,5,Daulatpur
2024-01-05,PH010,Losartan 50mg,7,Daulatpur
2024-01-06,PH010,Paracetamol 500mg,34,Daulatpur
2024-01-06,PH010,ORS Sachet,18,Daulatpur
2024-01-06,PH010,Metronidazole 400mg,12,Daulatpur
2024-01-06,PH010,Cetirizine 10mg,17,Daulatpur
2024-01-06,PH010,Amoxicillin 500mg,10,Daulatpur
2024-01-06,PH010,Azithromycin 500mg,6,Daulatpur
2024-01-06,PH010,Zinc 20mg (child),7,Daulatpur
2024-01-06,PH010,Ciprofloxacin 500mg,8,Daulatpur
2024-01-06,PH010,Antihistamine Syrup,9,Daulatpur
2024-01-06,PH010,Vitamin C 500mg,22,Daulatpur
2024-01-06,PH010,Ranitidine 150mg,13,Daulatpur
2024-01-06,PH010,Antacid Tablet,22,Daulatpur
2024-01-06,PH010,Insulin (vial),4,Daulatpur
2024-01-06,PH010,Atorvastatin 10mg,7,Daulatpur
2024-01-06,PH010,Losartan 50mg,9,Daulatpur
2024-01-07,PH010,Paracetamol 500mg,35,Daulatpur
2024-01-07,PH010,ORS Sachet,18,Daulatpur
2024-01-07,PH010,Metronidazole 400mg,10,Daulatpur
2024-01-07,PH010,Cetirizine 10mg,13,Daulatpur
2024-01-07,PH010,Amoxicillin 500mg,9,Daulatpur
2024-01-07,PH010,Azithromycin 500mg,6,Daulatpur
2024-01-07,PH010,Zinc 20mg (child),8,Daulatpur
2024-01-07,PH010,Ciprofloxacin 500mg,5,Daulatpur
2024-01-07,PH010,Antihistamine Syrup,12,Daulatpur
2024-01-07,PH010,Vitamin C 500mg,25,Daulatpur
2024-01-07,PH010,Ranitidine 150mg,12,Daulatpur
2024-01-07,PH010,Antacid Tablet,21,Daulatpur
2024-01-07,PH010,Insulin (vial),4,Daulatpur
2024-01-07,PH010,Atorvastatin 10mg,6,Daulatpur
2024-01-07,PH010,Losartan 50mg,8,Daulatpur
2024-01-08,PH010,Paracetamol 500mg,32,Daulatpur
2024-01-08,PH010,ORS Sachet,18,Daulatpur
2024-01-08,PH010,Metronidazole 400mg,9,Daulatpur
2024-01-08,PH010,Cetirizine 10mg,13,Daulatpur
2024-01-08,PH010,Amoxicillin 500mg,9,Daulatpur
2024-01-08,PH010,Azithromycin 500mg,5,Daulatpur
2024-01-08,PH010,Zinc 20mg (child),11,Daulatpur
2024-01-08,PH010,Ciprofloxacin 500mg,7,Daulatpur
2024-01-08,PH010,Antihistamine Syrup,11,Daulatpur
2024-01-08,PH010,Vitamin C 500mg,19,Daulatpur
2024-01-08,PH010,Ranitidine 150mg,17,Daulatpur
2024-01-08,PH010,Antacid Tablet,16,Daulatpur
2024-01-08,PH010,Insulin (vial),4,Daulatpur
