date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH007,Paracetamol 500mg,39,Sonadanga
2024-01-01,PH007,ORS Sachet,21,Sonadanga
2024-01-01,PH007,Metronidazole 400mg,10,Sonadanga
2024-01-01,PH007,Cetirizine 10mg,16,Sonadanga
2024-01-01,PH007,Amoxicillin 500mg,9,Sonadanga
2024-01-01,PH007,Azithromycin 500mg,5,Sonadanga
2024-01-01,PH007,Zinc 20mg (child),8,Sonadanga
2024-01-01,PH007,Ciprofloxacin 500mg,7,Sonadanga
2024-01-01,PH007,Antihistamine Syrup,8,Sonadanga
2024-01-01,PH007,Vitamin C 500mg,19,Sonadanga
2024-01-01,PH007,Ranitidine 150mg,17,Sonadanga
2024-01-01,PH007,Antacid Tablet,22,Sonadanga
2024-01-01,PH007,Insulin (vial),4,Sonadanga
2024-01-01,PH007,Atorvastatin 10mg,7,Sonadanga
2024-01-01,PH007,Losartan 50mg,7,Sonadanga
2024-01-02,PH007,Paracetamol 500mg,39,Sonadanga
2024-01-02,PH007,ORS Sachet,14,Sonadanga
2024-01-02,PH007,Metronidazole 400mg,14,Sonadanga
2024-01-02,PH007,Cetirizine 10mg,13,Sonadanga
2024-01-02,PH007,Amoxicillin 500mg,9,Sonadanga
2024-01-02,PH007,Azithromycin 500mg,7,Sonadanga
2024-01-02,PH007,Zinc 20mg (child),7,Sonadanga
2024-01-02,PH007,Ciprofloxacin 500mg,5,Sonadanga
2024-01-02,PH007,Antihistamine Syrup,11,Sonadanga
2024-01-02,PH007,Vitamin C 500mg,23,Sonadanga
2024-01-02,PH007,Ranitidine 150mg,18,Sonadanga
2024-01-02,PH007,Antacid Tablet,16,Sonadanga
2024-01-02,PH007,Insulin (vial),5,Sonadanga
2024-01-02,PH007,Atorvastatin 10mg,7,Sonadanga
2024-01-02,PH007,Losartan 50mg,8,Sonadanga
2024-01-03,PH007,Paracetamol 500mg,31,Sonadanga
2024-01-03,PH007,ORS Sachet,22,Sonadanga
2024-01-03,PH007,Metronidazole 400mg,12,Sonadanga
2024-01-03,PH007,Cetirizine 10mg,11,Sonadanga
2024-01-03,PH007,Amoxicillin 500mg,10,Sonadanga
2024-01-03,PH007,Azithromycin 500mg,6,Sonadanga
2024-01-03,PH007,Zinc 20mg (child),8,Sonadanga
2024-01-03,PH007,Ciprofloxacin 500mg,6,Sonadanga
2024-01-03,PH007,Antihistamine Syrup,10,Sonadanga
2024-01-03,PH007,Vitamin C 500mg,18,Sonadanga
2024-01-03,PH007,Ranitidine 150mg,17,Sonadanga
2024-01-03,PH007,Antacid Tablet,19,Sonadanga
2024-01-03,PH007,Insulin (vial),5,Sonadanga
2024-01-03,PH007,Atorvastatin 10mg,7,Sonadanga
2024-01-03,PH007,Losartan 50mg,8,Sonadanga
2024-01-04,PH007,Paracetamol 500mg,35,Sonadanga
2024-01-04,PH007,ORS Sachet,17,Sonadanga
2024-01-04,PH007,Metronidazole 400mg,9,Sonadanga
2024-01-04,PH007,Cetirizine 10mg,11,Sonadanga
2024-01-04,PH007,Amoxicillin 500mg,10,Sonadanga
2024-01-04,PH007,Azithromycin 500mg,6,Sonadanga
2024-01-04,PH007,Zinc 20mg (child),9,Sonadanga
2024-01-04,PH007,Ciprofloxacin 500mg,6,Sonadanga
2024-01-04,PH007,Antihistamine Syrup,8,Sonadanga
2024-01-04,PH007,Vitamin C 500mg,23,Sonadanga
2024-01-04,PH007,Ranitidine 150mg,17,Sonadanga
2024-01-04,PH007,Antacid Tablet,16,Sonadanga
2024-01-04,PH007,Insulin (vial),4,Sonadanga
2024-01-04,PH007,Atorvastatin 10mg,6,Sonadanga
2024-01-04,PH007,Losartan 50mg,7,Sonadanga
2024-01-05,PH007,Paracetamol 500mg,27,Sonadanga
2024-01-05,PH007,ORS Sachet,22,Sonadanga
2024-01-05,PH007,Metronidazole 400mg,13,Sonadanga
2024-01-05,PH007,Cetirizine 10mg,11,Sonadanga
2024-01-05,PH007,Amoxicillin 500mg,9,Sonadanga
2024-01-05,PH007,Azithromycin 500mg,7,Sonadanga
