resource_code,medicine_name,category,unit,quantity_available,avg_daily_demand,total_quantity_sold,base_daily_sales,outbreak_multiplier,signals_disease,last_updated
MED-001-PARACE,Paracetamol 500mg,medicine,tablet,360,48.89,4400,30,3.5,Fever/Flu,2024-03-30T23:59:59Z
MED-002-ORSSAC,ORS Sachet,medicine,sachet,144,17.60,1584,15,4.0,Diarrhea,2024-03-30T23:59:59Z
MED-003-METRON,Metronidazole 400mg,medicine,tablet,92,11.01,991,10,3.0,Diarrhea,2024-03-30T23:59:59Z
MED-004-CETIRI,Cetirizine 10mg,medicine,tablet,131,16.99,1529,12,2.5,Allergy/Fever,2024-03-30T23:59:59Z
MED-005-AMOXIC,Amoxicillin 500mg,medicine,tablet,79,9.54,859,8,2.8,Respiratory,2024-03-30T23:59:59Z
MED-006-AZITHR,Azithromycin 500mg,medicine,tablet,49,5.51,496,5,3.2,Respiratory,2024-03-30T23:59:59Z
MED-007-ZINC20,Zinc 20mg (child),medicine,tablet,80,9.54,859,8,3.5,Diarrhea,2024-03-30T23:59:59Z
MED-008-CIPROF,Ciprofloxacin 500mg,medicine,tablet,56,6.47,582,6,2.5,Diarrhea,2024-03-30T23:59:59Z
MED-009-ANTIHI,Antihistamine Syrup,medicine,bottle,87,10.44,940,10,2.0,Allergy/Fever,2024-03-30T23:59:59Z
MED-010-VITAMI,Vitamin C 500mg,medicine,tablet,190,24.38,2194,20,1.8,Fever/Flu,2024-03-30T23:59:59Z
MED-011-RANITI,Ranitidine 150mg,medicine,tablet,121,15.02,1352,14,1.5,Normal,2024-03-30T23:59:59Z
MED-012-ANTACI,Antacid Tablet,medicine,tablet,158,19.92,1793,18,1.3,Normal,2024-03-30T23:59:59Z
MED-013-INSULI,Insulin (vial),medicine,vial,38,4.70,423,4,1.1,Normal,2024-03-30T23:59:59Z
MED-014-ATORVA,Atorvastatin 10mg,medicine,tablet,54,6.62,596,6,1.0,Normal,2024-03-30T23:59:59Z
MED-015-LOSART,Losartan 50mg,medicine,tablet,61,7.48,673,7,1.0,Normal,2024-03-30T23:59:59Z
