date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH015,Paracetamol 500mg,39,Khalishpur
2024-01-01,PH015,ORS Sachet,13,Khalishpur
2024-01-01,PH015,Metronidazole 400mg,11,Khalishpur
2024-01-01,PH015,Cetirizine 10mg,15,Khalishpur
2024-01-01,PH015,Amoxicillin 500mg,7,Khalishpur
2024-01-01,PH015,Azithromycin 500mg,6,Khalishpur
2024-01-01,PH015,Zinc 20mg (child),8,Khalishpur
2024-01-01,PH015,Ciprofloxacin 500mg,6,Khalishpur
2024-01-01,PH015,Antihistamine Syrup,12,Khalishpur
2024-01-01,PH015,Vitamin C 500mg,26,Khalishpur
2024-01-01,PH015,Ranitidine 150mg,12,Khalishpur
2024-01-01,PH015,Antacid Tablet,23,Khalishpur
2024-01-01,PH015,Insulin (vial),5,Khalishpur
2024-01-01,PH015,Atorvastatin 10mg,8,Khalishpur
2024-01-01,PH015,Losartan 50mg,9,Khalishpur
2024-01-02,PH015,Paracetamol 500mg,29,Khalishpur
2024-01-02,PH015,ORS Sachet,16,Khalishpur
2024-01-02,PH015,Metronidazole 400mg,14,Khalishpur
2024-01-02,PH015,Cetirizine 10mg,15,Khalishpur
2024-01-02,PH015,Amoxicillin 500mg,11,Khalishpur
2024-01-02,PH015,Azithromycin 500mg,5,Khalishpur
2024-01-02,PH015,Zinc 20mg (child),10,Khalishpur
2024-01-02,PH015,Ciprofloxacin 500mg,6,Khalishpur
2024-01-02,PH015,Antihistamine Syrup,9,Khalishpur
2024-01-02,PH015,Vitamin C 500mg,18,Khalishpur
2024-01-02,PH015,Ranitidine 150mg,13,Khalishpur
2024-01-02,PH015,Antacid Tablet,15,Khalishpur
2024-01-02,PH015,Insulin (vial),4,Khalishpur
2024-01-02,PH015,Atorvastatin 10mg,8,Khalishpur
2024-01-02,PH015,Losartan 50mg,8,Khalishpur
2024-01-03,PH015,Paracetamol 500mg,41,Khalishpur
2024-01-03,PH015,ORS Sachet,18,Khalishpur
2024-01-03,PH015,Metronidazole 400mg,14,Khalishpur
2024-01-03,PH015,Cetirizine 10mg,10,Khalishpur
2024-01-03,PH015,Amoxicillin 500mg,7,Khalishpur
2024-01-03,PH015,Azithromycin 500mg,4,Khalishpur
2024-01-03,PH015,Zinc 20mg (child),12,Khalishpur
2024-01-03,PH015,Ciprofloxacin 500mg,6,Khalishpur
2024-01-03,PH015,Antihistamine Syrup,8,Khalishpur
2024-01-03,PH015,Vitamin C 500mg,19,Khalishpur
2024-01-03,PH015,Ranitidine 150mg,14,Khalishpur
2024-01-03,PH015,Antacid Tablet,17,Khalishpur
2024-01-03,PH015,Insulin (vial),4,Khalishpur
2024-01-03,PH015,Atorvastatin 10mg,6,Khalishpur
2024-01-03,PH015,Losartan 50mg,6,Khalishpur
2024-01-04,PH015,Paracetamol 500mg,34,Khalishpur
2024-01-04,PH015,ORS Sachet,18,Khalishpur
2024-01-04,PH015,Metronidazole 400mg,13,Khalishpur
2024-01-04,PH015,Cetirizine 10mg,10,Khalishpur
2024-01-04,PH015,Amoxicillin 500mg,10,Khalishpur
2024-01-04,PH015,Azithromycin 500mg,4,Khalishpur
2024-01-04,PH015,Zinc 20mg (child),10,Khalishpur
2024-01-04,PH015,Ciprofloxacin 500mg,6,Khalishpur
2024-01-04,PH015,Antihistamine Syrup,12,Khalishpur
2024-01-04,PH015,Vitamin C 500mg,21,Khalishpur
2024-01-04,PH015,Ranitidine 150mg,12,Khalishpur
2024-01-04,PH015,Antacid Tablet,20,Khalishpur
2024-01-04,PH015,Insulin (vial),4,Khalishpur
2024-01-04,PH015,Atorvastatin 10mg,7,Khalishpur
2024-01-04,PH015,Losartan 50mg,9,Khalishpur
2024-01-05,PH015,Paracetamol 500mg,36,Khalishpur
2024-01-05,PH015,ORS Sachet,18,Khalishpur
2024-01-05,PH015,Metronidazole 400mg,11,Khalishpur
2024-01-05,PH015,Cetirizine 10mg,11,Khalishpur
2024-01-05,PH015,Amoxicillin 500mg,9,Khalishpur
2024-01-05,PH015,Azithromycin 500mg,6,Khalishpur
2024-01-05,PH015,Zinc 20mg (child),11,Khalishpur
2024-01-05,PH015,Ciprofloxacin 500mg,8,Khalishpur
2024-01-05,PH015,Antihistamine Syrup,13,Khalishpur
2024-01-05,PH015,Vitamin C 500mg,25,Khalishpur
2024-01-05,PH015,Ranitidine 150mg,15,Khalishpur
2024-01-05,PH015,Antacid Tablet,24,Khalishpur
2024-01-05,PH015,Insulin (vial),4,Khalishpur
2024-01-05,PH015,Atorvastatin 10mg,6,Khalishpur
2024-01-05,PH015,Losartan 50mg,6,Khalishpur
2024-01-06,PH015,Paracetamol 500mg,26,Khalishpur
2024-01-06,PH015,ORS Sachet,15,Khalishpur
2024-01-06,PH015,Metronidazole 400mg,12,Khalishpur
2024-01-06,PH015,Cetirizine 10mg,14,Khalishpur
2024-01-06,PH015,Amoxicillin 500mg,10,Khalishpur
2024-01-06,PH015,Azithromycin 500mg,5,Khalishpur
2024-01-06,PH015,Zinc 20mg (child),12,Khalishpur
2024-01-06,PH015,Ciprofloxacin 500mg,7,Khalishpur
2024-01-06,PH015,Antihistamine Syrup,8,Khalishpur
2024-01-06,PH015,Vitamin C 500mg,18,Khalishpur
2024-01-06,PH015,Ranitidine 150mg,18,Khalishpur
2024-01-06,PH015,Antacid Tablet,19,Khalishpur
2024-01-06,PH015,Insulin (vial),5,Khalishpur
2024-01-06,PH015,Atorvastatin 10mg,6,Khalishpur
2024-01-06,PH015,Losartan 50mg,7,Khalishpur
2024-01-07,PH015,Paracetamol 500mg,41,Khalishpur
2024-01-07,PH015,ORS Sachet,18,Khalishpur
2024-01-07,PH015,Metronidazole 400mg,12,Khalishpur
2024-01-07,PH015,Cetirizine 10mg,13,Khalishpur
2024-01-07,PH015,Amoxicillin 500mg,7,Khalishpur
2024-01-07,PH015,Azithromycin 500mg,4,Khalishpur
2024-01-07,PH015,Zinc 20mg (child),9,Khalishpur
2024-01-07,PH015,Ciprofloxacin 500mg,8,Khalishpur
2024-01-07,PH015,Antihistamine Syrup,8,Khalishpur
2024-01-07,PH015,Vitamin C 500mg,20,Khalishpur
2024-01-07,PH015,Ranitidine 150mg,12,Khalishpur
2024-01-07,PH015,Antacid Tablet,21,Khalishpur
2024-01-07,PH015,Insulin (vial),4,Khalishpur
2024-01-07,PH015,Atorvastatin 10mg,6,Khalishpur
2024-01-07,PH015,Losartan 50mg,6,Khalishpur
2024-01-08,PH015,Paracetamol 500mg,39,Khalishpur
2024-01-08,PH015,ORS Sachet,19,Khalishpur
2024-01-08,PH015,Metronidazole 400mg,14,Khalishpur
2024-01-08,PH015,Cetirizine 10mg,14,Khalishpur
2024-01-08,PH015,Amoxicillin 500mg,10,Khalishpur
2024-01-08,PH015,Azithromycin 500mg,6,Khalishpur
2024-01-08,PH015,Zinc 20mg (child),11,Khalishpur
2024-01-08,PH015,Ciprofloxacin 500mg,5,Khalishpur
2024-01-08,PH015,Antihistamine Syrup,13,Khalishpur
2024-01-08,PH015,Vitamin C 500mg,23,Khalishpur
2024-01-08,PH015,Ranitidine 150mg,16,Khalishpur
2024-01-08,PH015,Antacid Tablet,17,Khalishpur
2024-01-08,PH015,Insulin (vial),4,Khalishpur
2024-01-08,PH015,Atorvastatin 10mg,7,Khalishpur
2024-01-08,PH015,Losartan 50mg,6,Khalishpur
2024-01-09,PH015,Paracetamol 500mg,30,Khalishpur
2024-01-09,PH015,ORS Sachet,21,Khalishpur
2024-01-09,PH015,Metronidazole 400mg,12,Khalishpur
2024-01-09,PH015,Cetirizine 10mg,17,Khalishpur
2024-01-09,PH015,Amoxicillin 500mg,8,Khalishpur
2024-01-09,PH015,Azithromycin 500mg,5,Khalishpur
2024-01-09,PH015,Zinc 20mg (child),9,Khalishpur
2024-01-09,PH015,Ciprofloxacin 500mg,7,Khalishpur
2024-01-09,PH015,Antihistamine Syrup,10,Khalishpur
2024-01-09,PH015,Vitamin C 500mg,27,Khalishpur
2024-01-09,PH015,Ranitidine 150mg,12,Khalishpur
2024-01-09,PH015,Antacid Tablet,24,Khalishpur
2024-01-09,PH015,Insulin (vial),4,Khalishpur
2024-01-09,PH015,Atorvastatin 10mg,7,Khalishpur
2024-01-09,PH015,Losartan 50mg,6,Khalishpur
2024-01-10,PH015,Paracetamol 500mg,36,Khalishpur
2024-01-10,PH015,ORS Sachet,16,Khalishpur
2024-01-10,PH015,Metronidazole 400mg,9,Khalishpur
2024-01-10,PH015,Cetirizine 10mg,11,Khalishpur
2024-01-10,PH015,Amoxicillin 500mg,10,Khalishpur
2024-01-10,PH015,Azithromycin 500mg,6,Khalishpur
2024-01-10,PH015,Zinc 20mg (child),9,Khalishpur
2024-01-10,PH015,Ciprofloxacin 500mg,6,Khalishpur
2024-01-10,PH015,Antihistamine Syrup,10,Khalishpur
2024-01-10,PH015,Vitamin C 500mg,18,Khalishpur
2024-01-10,PH015,Ranitidine 150mg,19,Khalishpur
2024-01-10,PH015,Antacid Tablet,23,Khalishpur
2024-01-10,PH015,Insulin (vial),5,Khalishpur
2024-01-10,PH015,Atorvastatin 10mg,5,Khalishpur
2024-01-10,PH015,Losartan 50mg,8,Khalishpur
2024-01-11,PH015,Paracetamol 500mg,32,Khalishpur
2024-01-11,PH015,ORS Sachet,15,Khalishpur
2024-01-11,PH015,Metronidazole 400mg,10,Khalishpur
2024-01-11,PH015,Cetirizine 10mg,17,Khalishpur
2024-01-11,PH015,Amoxicillin 500mg,9,Khalishpur
2024-01-11,PH015,Azithromycin 500mg,7,Khalishpur
2024-01-11,PH015,Zinc 20mg (child),11,Khalishpur
2024-01-11,PH015,Ciprofloxacin 500mg,5,Khalishpur
2024-01-11,PH015,Antihistamine Syrup,13,Khalishpur
2024-01-11,PH015,Vitamin C 500mg,18,Khalishpur
2024-01-11,PH015,Ranitidine 150mg,19,Khalishpur
2024-01-11,PH015,Antacid Tablet,17,Khalishpur
2024-01-11,PH015,Insulin (vial),6,Khalishpur
2024-01-11,PH015,Atorvastatin 10mg,8,Khalishpur
2024-01-11,PH015,Losartan 50mg,7,Khalishpur
2024-01-12,PH015,Paracetamol 500mg,34,Khalishpur
2024-01-12,PH015,ORS Sachet,20,Khalishpur
2024-01-12,PH015,Metronidazole 400mg,14,Khalishpur
2024-01-12,PH015,Cetirizine 10mg,15,Khalishpur
2024-01-12,PH015,Amoxicillin 500mg,11,Khalishpur
2024-01-12,PH015,Azithromycin 500mg,6,Khalishpur
2024-01-12,PH015,Zinc 20mg (child),9,Khalishpur
2024-01-12,PH015,Ciprofloxacin 500mg,7,Khalishpur
2024-01-12,PH015,Antihistamine Syrup,11,Khalishpur
2024-01-12,PH015,Vitamin C 500mg,18,Khalishpur
2024-01-12,PH015,Ranitidine 150mg,17,Khalishpur
2024-01-12,PH015,Antacid Tablet,19,Khalishpur
2024-01-12,PH015,Insulin (vial),3,Khalishpur
2024-01-12,PH015,Atorvastatin 10mg,6,Khalishpur
2024-01-12,PH015,Losartan 50mg,6,Khalishpur
2024-01-13,PH015,Paracetamol 500mg,31,Khalishpur
2024-01-13,PH015,ORS Sachet,19,Khalishpur
2024-01-13,PH015,Metronidazole 400mg,10,Khalishpur
2024-01-13,PH015,Cetirizine 10mg,16,Khalishpur
2024-01-13,PH015,Amoxicillin 500mg,10,Khalishpur
2024-01-13,PH015,Azithromycin 500mg,6,Khalishpur
2024-01-13,PH015,Zinc 20mg (child),9,Khalishpur
2024-01-13,PH015,Ciprofloxacin 500mg,6,Khalishpur
2024-01-13,PH015,Antihistamine Syrup,10,Khalishpur
2024-01-13,PH015,Vitamin C 500mg,18,Khalishpur
2024-01-13,PH015,Ranitidine 150mg,19,Khalishpur
2024-01-13,PH015,Antacid Tablet,17,Khalishpur
2024-01-13,PH015,Insulin (vial),6,Khalishpur
2024-01-13,PH015,Atorvastatin 10mg,7,Khalishpur
2024-01-13,PH015,Losartan 50mg,9,Khalishpur
2024-01-14,PH015,Paracetamol 500mg,28,Khalishpur
2024-01-14,PH015,ORS Sachet,13,Khalishpur
2024-01-14,PH015,Metronidazole 400mg,12,Khalishpur
2024-01-14,PH015,Cetirizine 10mg,16,Khalishpur
2024-01-14,PH015,Amoxicillin 500mg,8,Khalishpur
2024-01-14,PH015,Azithromycin 500mg,6,Khalishpur
2024-01-14,PH015,Zinc 20mg (child),12,Khalishpur
2024-01-14,PH015,Ciprofloxacin 500mg,7,Khalishpur
2024-01-14,PH015,Antihistamine Syrup,11,Khalishpur
2024-01-14,PH015,Vitamin C 500mg,25,Khalishpur
2024-01-14,PH015,Ranitidine 150mg,13,Khalishpur
2024-01-14,PH015,Antacid Tablet,23,Khalishpur
2024-01-14,PH015,Insulin (vial),5,Khalishpur
2024-01-14,PH015,Atorvastatin 10mg,6,Khalishpur
2024-01-14,PH015,Losartan 50mg,9,Khalishpur
2024-01-15,PH015,Paracetamol 500mg,39,Khalishpur
2024-01-15,PH015,ORS Sachet,15,Khalishpur
2024-01-15,PH015,Metronidazole 400mg,14,Khalishpur
2024-01-15,PH015,Cetirizine 10mg,11,Khalishpur
2024-01-15,PH015,Amoxicillin 500mg,10,Khalishpur
2024-01-15,PH015,Azithromycin 500mg,6,Khalishpur
2024-01-15,PH015,Zinc 20mg (child),12,Khalishpur
2024-01-15,PH015,Ciprofloxacin 500mg,8,Khalishpur
2024-01-15,PH015,Antihistamine Syrup,10,Khalishpur
2024-01-15,PH015,Vitamin C 500mg,21,Khalishpur
2024-01-15,PH015,Ranitidine 150mg,16,Khalishpur
2024-01-15,PH015,Antacid Tablet,19,Khalishpur
2024-01-15,PH015,Insulin (vial),5,Khalishpur
2024-01-15,PH015,Atorvastatin 10mg,7,Khalishpur
2024-01-15,PH015,Losartan 50mg,7,Khalishpur
2024-01-16,PH015,Paracetamol 500mg,34,Khalishpur
2024-01-16,PH015,ORS Sachet,14,Khalishpur
2024-01-16,PH015,Metronidazole 400mg,13,Khalishpur
2024-01-16,PH015,Cetirizine 10mg,14,Khalishpur
2024-01-16,PH015,Amoxicillin 500mg,10,Khalishpur
2024-01-16,PH015,Azithromycin 500mg,5,Khalishpur
2024-01-16,PH015,Zinc 20mg (child),8,Khalishpur
2024-01-16,PH015,Ciprofloxacin 500mg,5,Khalishpur
2024-01-16,PH015,Antihistamine Syrup,11,Khalishpur
2024-01-16,PH015,Vitamin C 500mg,24,Khalishpur
2024-01-16,PH015,Ranitidine 150mg,15,Khalishpur
2024-01-16,PH015,Antacid Tablet,23,Khalishpur
2024-01-16,PH015,Insulin (vial),5,Khalishpur
2024-01-16,PH015,Atorvastatin 10mg,6,Khalishpur
2024-01-16,PH015,Losartan 50mg,9,Khalishpur
2024-01-17,PH015,Paracetamol 500mg,39,Khalishpur
2024-01-17,PH015,ORS Sachet,20,Khalishpur
2024-01-17,PH015,Metronidazole 400mg,13,Khalishpur
2024-01-17,PH015,Cetirizine 10mg,12,Khalishpur
2024-01-17,PH015,Amoxicillin 500mg,10,Khalishpur
2024-01-17,PH015,Azithromycin 500mg,5,Khalishpur
2024-01-17,PH015,Zinc 20mg (child),8,Khalishpur
2024-01-17,PH015,Ciprofloxacin 500mg,5,Khalishpur
