date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH008,Paracetamol 500mg,29,Sonadanga
2024-01-01,PH008,ORS Sachet,20,Sonadanga
2024-01-01,PH008,Metronidazole 400mg,13,Sonadanga
2024-01-01,PH008,Cetirizine 10mg,13,Sonadanga
2024-01-01,PH008,Amoxicillin 500mg,10,Sonadanga
2024-01-01,PH008,Azithromycin 500mg,6,Sonadanga
2024-01-01,PH008,Zinc 20mg (child),10,Sonadanga
2024-01-01,PH008,Ciprofloxacin 500mg,7,Sonadanga
2024-01-01,PH008,Antihistamine Syrup,12,Sonadanga
2024-01-01,PH008,Vitamin C 500mg,18,Sonadanga
2024-01-01,PH008,Ranitidine 150mg,12,Sonadanga
2024-01-01,PH008,Antacid Tablet,16,Sonadanga
2024-01-01,PH008,Insulin (vial),4,Sonadanga
2024-01-01,PH008,Atorvastatin 10mg,7,Sonadanga
2024-01-01,PH008,Losartan 50mg,9,Sonadanga
2024-01-02,PH008,Paracetamol 500mg,26,Sonadanga
2024-01-02,PH008,ORS Sachet,20,Sonadanga
2024-01-02,PH008,Metronidazole 400mg,10,Sonadanga
2024-01-02,PH008,Cetirizine 10mg,15,Sonadanga
2024-01-02,PH008,Amoxicillin 500mg,12,Sonadanga
2024-01-02,PH008,Azithromycin 500mg,4,Sonadanga
2024-01-02,PH008,Zinc 20mg (child),9,Sonadanga
2024-01-02,PH008,Ciprofloxacin 500mg,8,Sonadanga
2024-01-02,PH008,Antihistamine Syrup,9,Sonadanga
2024-01-02,PH008,Vitamin C 500mg,25,Sonadanga
2024-01-02,PH008,Ranitidine 150mg,18,Sonadanga
2024-01-02,PH008,Antacid Tablet,21,Sonadanga
2024-01-02,PH008,Insulin (vial),6,Sonadanga
2024-01-02,PH008,Atorvastatin 10mg,7,Sonadanga
2024-01-02,PH008,Losartan 50mg,6,Sonadanga
2024-01-03,PH008,Paracetamol 500mg,39,Sonadanga
2024-01-03,PH008,ORS Sachet,17,Sonadanga
2024-01-03,PH008,Metronidazole 400mg,14,Sonadanga
2024-01-03,PH008,Cetirizine 10mg,16,Sonadanga
2024-01-03,PH008,Amoxicillin 500mg,9,Sonadanga
2024-01-03,PH008,Azithromycin 500mg,4,Sonadanga
2024-01-03,PH008,Zinc 20mg (child),9,Sonadanga
2024-01-03,PH008,Ciprofloxacin 500mg,6,Sonadanga
2024-01-03,PH008,Antihistamine Syrup,13,Sonadanga
2024-01-03,PH008,Vitamin C 500mg,19,Sonadanga
2024-01-03,PH008,Ranitidine 150mg,12,Sonadanga
2024-01-03,PH008,Antacid Tablet,16,Sonadanga
2024-01-03,PH008,Insulin (vial),5,Sonadanga
2024-01-03,PH008,Atorvastatin 10mg,5,Sonadanga
2024-01-03,PH008,Losartan 50mg,9,Sonadanga
2024-01-04,PH008,Paracetamol 500mg,36,Sonadanga
2024-01-04,PH008,ORS Sachet,20,Sonadanga
2024-01-04,PH008,Metronidazole 400mg,12,Sonadanga
2024-01-04,PH008,Cetirizine 10mg,16,Sonadanga
2024-01-04,PH008,Amoxicillin 500mg,9,Sonadanga
2024-01-04,PH008,Azithromycin 500mg,5,Sonadanga
2024-01-04,PH008,Zinc 20mg (child),10,Sonadanga
2024-01-04,PH008,Ciprofloxacin 500mg,8,Sonadanga
2024-01-04,PH008,Antihistamine Syrup,13,Sonadanga
2024-01-04,PH008,Vitamin C 500mg,24,Sonadanga
2024-01-04,PH008,Ranitidine 150mg,13,Sonadanga
2024-01-04,PH008,Antacid Tablet,20,Sonadanga
2024-01-04,PH008,Insulin (vial),3,Sonadanga
2024-01-04,PH008,Atorvastatin 10mg,5,Sonadanga
2024-01-04,PH008,Losartan 50mg,7,Sonadanga
2024-01-05,PH008,Paracetamol 500mg,36,Sonadanga
2024-01-05,PH008,ORS Sachet,13,Sonadanga
2024-01-05,PH008,Metronidazole 400mg,9,Sonadanga
2024-01-05,PH008,Cetirizine 10mg,13,Sonadanga
2024-01-05,PH008,Amoxicillin 500mg,8,Sonadanga
2024-01-05,PH008,Azithromycin 500mg,5,Sonadanga
2024-01-05,PH008,Zinc 20mg (child),10,Sonadanga
2024-01-05,PH008,Ciprofloxacin 500mg,7,Sonadanga
2024-01-05,PH008,Antihistamine Syrup,10,Sonadanga
2024-01-05,PH008,Vitamin C 500mg,25,Sonadanga
2024-01-05,PH008,Ranitidine 150mg,12,Sonadanga
2024-01-05,PH008,Antacid Tablet,16,Sonadanga
2024-01-05,PH008,Insulin (vial),4,Sonadanga
2024-01-05,PH008,Atorvastatin 10mg,8,Sonadanga
2024-01-05,PH008,Losartan 50mg,8,Sonadanga
2024-01-06,PH008,Paracetamol 500mg,34,Sonadanga
2024-01-06,PH008,ORS Sachet,19,Sonadanga
2024-01-06,PH008,Metronidazole 400mg,9,Sonadanga
2024-01-06,PH008,Cetirizine 10mg,16,Sonadanga
2024-01-06,PH008,Amoxicillin 500mg,11,Sonadanga
2024-01-06,PH008,Azithromycin 500mg,5,Sonadanga
2024-01-06,PH008,Zinc 20mg (child),11,Sonadanga
