resource_code,medicine_name,category,unit,quantity_available,avg_daily_demand,total_quantity_sold,base_daily_sales,outbreak_multiplier,signals_disease,last_updated
MED-001-PARACE,Paracetamol 500mg,medicine,tablet,438,47.40,4266,30,3.5,Fever/Flu,2024-03-30T23:59:59Z
MED-002-ORSSAC,ORS Sachet,medicine,sachet,176,17.41,1567,15,4.0,Diarrhea,2024-03-30T23:59:59Z
MED-003-METRON,Metronidazole 400mg,medicine,tablet,114,11.12,1001,10,3.0,Diarrhea,2024-03-30T23:59:59Z
MED-004-CETIRI,Cetirizine 10mg,medicine,tablet,160,16.67,1500,12,2.5,Allergy/Fever,2024-03-30T23:59:59Z
MED-005-AMOXIC,Amoxicillin 500mg,medicine,tablet,97,9.51,856,8,2.8,Respiratory,2024-03-30T23:59:59Z
MED-006-AZITHR,Azithromycin 500mg,medicine,tablet,60,5.44,490,5,3.2,Respiratory,2024-03-30T23:59:59Z
MED-007-ZINC20,Zinc 20mg (child),medicine,tablet,99,9.57,861,8,3.5,Diarrhea,2024-03-30T23:59:59Z
MED-008-CIPROF,Ciprofloxacin 500mg,medicine,tablet,68,6.41,577,6,2.5,Diarrhea,2024-03-30T23:59:59Z
MED-009-ANTIHI,Antihistamine Syrup,medicine,bottle,107,10.38,934,10,2.0,Allergy/Fever,2024-03-30T23:59:59Z
MED-010-VITAMI,Vitamin C 500mg,medicine,tablet,242,25.10,2259,20,1.8,Fever/Flu,2024-03-30T23:59:59Z
MED-011-RANITI,Ranitidine 150mg,medicine,tablet,153,15.31,1378,14,1.5,Normal,2024-03-30T23:59:59Z
MED-012-ANTACI,Antacid Tablet,medicine,tablet,196,19.80,1782,18,1.3,Normal,2024-03-30T23:59:59Z
MED-013-INSULI,Insulin (vial),medicine,vial,46,4.46,401,4,1.1,Normal,2024-03-30T23:59:59Z
MED-014-ATORVA,Atorvastatin 10mg,medicine,tablet,66,6.58,592,6,1.0,Normal,2024-03-30T23:59:59Z
MED-015-LOSART,Losartan 50mg,medicine,tablet,75,7.40,666,7,1.0,Normal,2024-03-30T23:59:59Z
