date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH000,Paracetamol 500mg,33,Joypurhat Sadar
2024-01-01,PH000,ORS Sachet,10,Joypurhat Sadar
2024-01-01,PH000,Metronidazole 400mg,8,Joypurhat Sadar
2024-01-01,PH000,Cetirizine 10mg,10,Joypurhat Sadar
2024-01-01,PH000,Amoxicillin 500mg,5,Joypurhat Sadar
2024-01-01,PH000,Azithromycin 500mg,4,Joypurhat Sadar
2024-01-01,PH000,Zinc 20mg (child),6,Joypurhat Sadar
2024-01-01,PH000,Ciprofloxacin 500mg,5,Joypurhat Sadar
2024-01-01,PH000,Antihistamine Syrup,10,Joypurhat Sadar
2024-01-01,PH000,Vitamin C 500mg,18,Joypurhat Sadar
2024-01-01,PH000,Ranitidine 150mg,12,Joypurhat Sadar
2024-01-01,PH000,Antacid Tablet,14,Joypurhat Sadar
2024-01-01,PH000,Insulin (vial),3,Joypurhat Sadar
2024-01-01,PH000,Atorvastatin 10mg,7,Joypurhat Sadar
2024-01-01,PH000,Losartan 50mg,7,Joypurhat Sadar
2024-01-01,PH001,Paracetamol 500mg,31,Joypurhat Sadar
2024-01-01,PH001,ORS Sachet,12,Joypurhat Sadar
2024-01-01,PH001,Metronidazole 400mg,11,Joypurhat Sadar
2024-01-01,PH001,Cetirizine 10mg,9,Joypurhat Sadar
2024-01-01,PH001,Amoxicillin 500mg,7,Joypurhat Sadar
2024-01-01,PH001,Azithromycin 500mg,6,Joypurhat Sadar
2024-01-01,PH001,Zinc 20mg (child),8,Joypurhat Sadar
2024-01-01,PH001,Ciprofloxacin 500mg,6,Joypurhat Sadar
2024-01-01,PH001,Antihistamine Syrup,11,Joypurhat Sadar
2024-01-01,PH001,Vitamin C 500mg,24,Joypurhat Sadar
2024-01-01,PH001,Ranitidine 150mg,16,Joypurhat Sadar
2024-01-01,PH001,Antacid Tablet,15,Joypurhat Sadar
2024-01-01,PH001,Insulin (vial),2,Joypurhat Sadar
2024-01-01,PH001,Atorvastatin 10mg,5,Joypurhat Sadar
2024-01-01,PH001,Losartan 50mg,6,Joypurhat Sadar
2024-01-01,PH002,Paracetamol 500mg,24,Joypurhat Sadar
2024-01-01,PH002,ORS Sachet,18,Joypurhat Sadar
2024-01-01,PH002,Metronidazole 400mg,12,Joypurhat Sadar
2024-01-01,PH002,Cetirizine 10mg,10,Joypurhat Sadar
2024-01-01,PH002,Amoxicillin 500mg,8,Joypurhat Sadar
2024-01-01,PH002,Azithromycin 500mg,4,Joypurhat Sadar
2024-01-01,PH002,Zinc 20mg (child),9,Joypurhat Sadar
2024-01-01,PH002,Ciprofloxacin 500mg,5,Joypurhat Sadar
2024-01-01,PH002,Antihistamine Syrup,8,Joypurhat Sadar
2024-01-01,PH002,Vitamin C 500mg,16,Joypurhat Sadar
2024-01-01,PH002,Ranitidine 150mg,14,Joypurhat Sadar
2024-01-01,PH002,Antacid Tablet,15,Joypurhat Sadar
2024-01-01,PH002,Insulin (vial),4,Joypurhat Sadar
2024-01-01,PH002,Atorvastatin 10mg,7,Joypurhat Sadar
