date,healthcare_id,medicine_name,quantity_sold,upazila
2024-01-01,PH001,Paracetamol 500mg,35,Khulna Sadar
2024-01-01,PH001,ORS Sachet,15,Khulna Sadar
2024-01-01,PH001,Metronidazole 400mg,13,Khulna Sadar
2024-01-01,PH001,Cetirizine 10mg,10,Khulna Sadar
2024-01-01,PH001,Amoxicillin 500mg,8,Khulna Sadar
2024-01-01,PH001,Azithromycin 500mg,5,Khulna Sadar
2024-01-01,PH001,Zinc 20mg (child),9,Khulna Sadar
2024-01-01,PH001,Ciprofloxacin 500mg,7,Khulna Sadar
2024-01-01,PH001,Antihistamine Syrup,10,Khulna Sadar
2024-01-01,PH001,Vitamin C 500mg,24,Khulna Sadar
2024-01-01,PH001,Ranitidine 150mg,19,Khulna Sadar
2024-01-01,PH001,Antacid Tablet,16,Khulna Sadar
2024-01-01,PH001,Insulin (vial),5,Khulna Sadar
2024-01-01,PH001,Atorvastatin 10mg,7,Khulna Sadar
2024-01-01,PH001,Losartan 50mg,8,Khulna Sadar
2024-01-02,PH001,Paracetamol 500mg,41,Khulna Sadar
2024-01-02,PH001,ORS Sachet,18,Khulna Sadar
2024-01-02,PH001,Metronidazole 400mg,10,Khulna Sadar
2024-01-02,PH001,Cetirizine 10mg,14,Khulna Sadar
2024-01-02,PH001,Amoxicillin 500mg,10,Khulna Sadar
2024-01-02,PH001,Azithromycin 500mg,5,Khulna Sadar
2024-01-02,PH001,Zinc 20mg (child),10,Khulna Sadar
2024-01-02,PH001,Ciprofloxacin 500mg,5,Khulna Sadar
2024-01-02,PH001,Antihistamine Syrup,9,Khulna Sadar
2024-01-02,PH001,Vitamin C 500mg,24,Khulna Sadar
2024-01-02,PH001,Ranitidine 150mg,14,Khulna Sadar
2024-01-02,PH001,Antacid Tablet,16,Khulna Sadar
2024-01-02,PH001,Insulin (vial),5,Khulna Sadar
2024-01-02,PH001,Atorvastatin 10mg,5,Khulna Sadar
2024-01-02,PH001,Losartan 50mg,6,Khulna Sadar
2024-01-03,PH001,Paracetamol 500mg,26,Khulna Sadar
2024-01-03,PH001,ORS Sachet,14,Khulna Sadar
2024-01-03,PH001,Metronidazole 400mg,9,Khulna Sadar
2024-01-03,PH001,Cetirizine 10mg,12,Khulna Sadar
2024-01-03,PH001,Amoxicillin 500mg,9,Khulna Sadar
2024-01-03,PH001,Azithromycin 500mg,5,Khulna Sadar
2024-01-03,PH001,Zinc 20mg (child),11,Khulna Sadar
2024-01-03,PH001,Ciprofloxacin 500mg,7,Khulna Sadar
2024-01-03,PH001,Antihistamine Syrup,9,Khulna Sadar
2024-01-03,PH001,Vitamin C 500mg,20,Khulna Sadar
2024-01-03,PH001,Ranitidine 150mg,19,Khulna Sadar
2024-01-03,PH001,Antacid Tablet,21,Khulna Sadar
2024-01-03,PH001,Insulin (vial),3,Khulna Sadar
2024-01-03,PH001,Atorvastatin 10mg,6,Khulna Sadar
2024-01-03,PH001,Losartan 50mg,9,Khulna Sadar
2024-01-04,PH001,Paracetamol 500mg,42,Khulna Sadar
2024-01-04,PH001,ORS Sachet,21,Khulna Sadar
2024-01-04,PH001,Metronidazole 400mg,9,Khulna Sadar
2024-01-04,PH001,Cetirizine 10mg,12,Khulna Sadar
2024-01-04,PH001,Amoxicillin 500mg,11,Khulna Sadar
2024-01-04,PH001,Azithromycin 500mg,6,Khulna Sadar
2024-01-04,PH001,Zinc 20mg (child),10,Khulna Sadar
2024-01-04,PH001,Ciprofloxacin 500mg,7,Khulna Sadar
2024-01-04,PH001,Antihistamine Syrup,10,Khulna Sadar
2024-01-04,PH001,Vitamin C 500mg,23,Khulna Sadar
2024-01-04,PH001,Ranitidine 150mg,16,Khulna Sadar
2024-01-04,PH001,Antacid Tablet,22,Khulna Sadar
2024-01-04,PH001,Insulin (vial),6,Khulna Sadar
2024-01-04,PH001,Atorvastatin 10mg,7,Khulna Sadar
2024-01-04,PH001,Losartan 50mg,6,Khulna Sadar
2024-01-05,PH001,Paracetamol 500mg,34,Khulna Sadar
2024-01-05,PH001,ORS Sachet,19,Khulna Sadar
2024-01-05,PH001,Metronidazole 400mg,12,Khulna Sadar
2024-01-05,PH001,Cetirizine 10mg,11,Khulna Sadar
2024-01-05,PH001,Amoxicillin 500mg,7,Khulna Sadar
2024-01-05,PH001,Azithromycin 500mg,7,Khulna Sadar
2024-01-05,PH001,Zinc 20mg (child),9,Khulna Sadar
2024-01-05,PH001,Ciprofloxacin 500mg,6,Khulna Sadar
2024-01-05,PH001,Antihistamine Syrup,9,Khulna Sadar
2024-01-05,PH001,Vitamin C 500mg,22,Khulna Sadar
2024-01-05,PH001,Ranitidine 150mg,17,Khulna Sadar
2024-01-05,PH001,Antacid Tablet,18,Khulna Sadar
2024-01-05,PH001,Insulin (vial),4,Khulna Sadar
2024-01-05,PH001,Atorvastatin 10mg,5,Khulna Sadar
2024-01-05,PH001,Losartan 50mg,8,Khulna Sadar
2024-01-06,PH001,Paracetamol 500mg,40,Khulna Sadar
